CHEBI,PotentialAdditionalIDs,AllIDs
74343,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
74344,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
74348,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
74561,NA,74561
74566,NA,74566
74640,143877,"74640, 143877"
74712,NA,74712
74719,190709,"74719, 190709"
74750,NA,74750
74751,NA,74751
7476,NA,7476
74767,NA,74767
74815,NA,74815
74823,NA,74823
74857,NA,74857
74860,NA,74860
74861,NA,74861
74968,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
74971,NA,74971
75008,NA,75008
75009,NA,75009
75010,NA,75010
75011,NA,75011
75012,NA,75012
75014,NA,75014
75015,NA,75015
75016,NA,75016
75036,NA,75036
75094,NA,75094
75117,NA,75117
75342,75757,"75757, 75342"
75455,NA,75455
75457,NA,75457
75555,NA,75555
75565,75568,"75565, 75568"
75568,75565,"75565, 75568"
75757,75342,"75757, 75342"
76273,4676,"4676, 76273"
7676,21949,"21949, 7676"
76931,"73688, 95120","73688, 95120, 76931"
77016,28125,"28125, 77016"
77086,NA,77086
77220,73731,"73731, 77220"
77222,32389,"32389, 77222"
77223,53460,"53460, 77223"
77224,53488,"53488, 77224"
77225,53487,"53487, 77225"
77226,65136,"65136, 77226"
77397,3723,"77397, 3723"
77740,28223,"28223, 77740"
77807,80549,"77807, 80549"
78208,48131,"48131, 78208"
78646,NA,78646
78795,42504,"42504, 78795"
7896,15756,"15756, 7896"
7916,"46905, 29032","46905, 7916, 29032"
7936,NA,7936
80549,77807,"77807, 80549"
8087,NA,8087
81308,"16359, 29747","81308, 16359, 29747"
82952,165628,"82952, 165628"
83036,NA,83036
83037,"16814, 57905","16814, 83037, 57905"
83051,NA,83051
83055,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
83058,133732,"83058, 133732"
83478,NA,83478
8387,NA,8387
84058,NA,84058
84299,NA,84299
84644,73074,"84644, 73074"
84651,NA,84651
84753,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
84834,70749,"84834, 70749"
84838,73017,"84838, 73017"
85095,165624,"85095, 165624"
85470,86047,"85470, 86047"
86047,85470,"85470, 86047"
86255,"73794, 131924, 72998, 73851, 73858, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
86259,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
86260,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
86570,NA,86570
8776,NA,8776
88350,"24344, 58289, 17835","24344, 58289, 17835, 88350"
88684,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
88685,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
88686,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
88698,"73794, 131924, 72998, 73851, 73858, 86255, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
88765,NA,88765
88948,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
88952,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
89058,NA,89058
89582,NA,89582
9008,NA,9008
90328,NA,90328
90632,"28209, 60943, 65341","28209, 60943, 65341, 90632"
9347,NA,9347
95120,"73688, 76931","73688, 95120, 76931"
9943,NA,9943
