"","Metabolite","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"190","hydrochlorothiazide","Xenobiotics","Drug","39625","LC/MS Neg","2041.6","296.10000000000002","58-93-5","3639","340","192"
"191","hypotaurine","Amino acid","Cysteine, methionine, SAM, taurine metabolism","590","GC/MS","1598.5","188","300-84-5","107812","C00519","HMDB00965"
"192","hypoxanthine","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing","3127","LC/MS Neg","1313","135.1","68-94-0","790","C00262","HMDB00157"
"193","imidazole propionate","Amino acid","Histidine metabolism","40730","LC/MS Pos","1011.7","141.1","1074-59-5","70630",NA,"HMDB02271"
"194","indoleacetate","Amino acid","Tryptophan metabolism","27513","GC/MS","1862","202","6505-45-9","802","C00954","HMDB00197"
"195","indolelactate","Amino acid","Tryptophan metabolism","18349","GC/MS","1964.9","202","832-97-3","676157","C02043","HMDB00671"
"196","isoleucine","Amino acid","Valine, leucine and isoleucine metabolism","1125","LC/MS Pos","1614","132.1","73-32-5","6306","C00407","HMDB00172"
"197","isoleucylarginine","Peptide","Dipeptide","40071","LC/MS Pos","1245","288.2","55715-01-0","9900561",NA,NA
"198","isoleucylglycine","Peptide","Dipeptide","40008","LC/MS Pos","1732","189.2","868-28-0","342532",NA,NA
"199","isoleucylphenylalanine","Peptide","Dipeptide","40067","LC/MS Pos","3155","279.2","22951-98-0","435728",NA,NA
"200","isoleucyltryptophan","Peptide","Dipeptide","40079","LC/MS Pos","3080","318.2","13589-06-5","9797038",NA,NA
"201","isoleucyltyrosine","Peptide","Dipeptide","40073","LC/MS Pos","2300","295.2","38579-21-4","342468",NA,NA
"202","lactate","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","527","GC/MS","1102.8","116.9","79-33-4","107689; 5460161","C00186","HMDB00190"
"203","laurate (12:0)","Lipid","Medium chain fatty acid","1645","LC/MS Neg","5288","199.3","143-07-7","3893","C02679","HMDB00638"
"204","leucylalanine","Peptide","Dipeptide","40010","LC/MS Pos","1760","203.2","7298-84-2","81721",NA,NA
"205","leucylarginine","Peptide","Dipeptide","40028","LC/MS Pos","1300","288.2","26607-15-8","3800205",NA,NA
"206","leucylasparagine","Peptide","Dipeptide","40052","LC/MS Pos","1418","246.2","14608-81-2","4128305",NA,NA
"207","leucylglycine","Peptide","Dipeptide","40045","LC/MS Pos","1800","189.2","686-50-0","79070",NA,NA
"208","leucylhistidine","Peptide","Dipeptide","40077","LC/MS Pos","1056","269.2","38062-72-5","341684",NA,NA
"209","leucylmethionine","Peptide","Dipeptide","40022","LC/MS Pos","2504","263.2","36077-39-1","118276",NA,NA
"210","leucylphenylalanine","Peptide","Dipeptide","40026","LC/MS Pos","3308","279.2","3063-05-6","259325",NA,NA
"211","leucylserine","Peptide","Dipeptide","40048","LC/MS Pos","1519.7","219.2","6209-12-7","3621685",NA,NA
"212","leucyltryptophan","Peptide","Dipeptide","40034","LC/MS Pos","3216","318.2","5156-22-9","329275",NA,NA
"213","leucyltyrosine","Peptide","Dipeptide","40030","LC/MS Pos","2413","295.2","968-21-8","273262",NA,NA
"214","lidocaine","Xenobiotics","Drug","35661","LC/MS Pos","2761","235.2","137-58-6","3676","D00358",NA
"215","linoleate (18:2n6)","Lipid","Essential fatty acid","1105","LC/MS Neg","5533","279.3","60-33-3","5280450","C01595","HMDB00673"
"216","lipitor","Xenobiotics","Drug","38619","LC/MS Neg","5091.5","557.29999999999995","134523-03-8","60823","D00887,C06834","HMDB05006"
"217","L-urobilin","Cofactors and vitamins","Hemoglobin and porphyrin metabolism","40173","LC/MS Pos","4091","595.4","34217-90-8","440785; 6433298","C05793","HMDB04159"
"218","lysine","Amino acid","Lysine metabolism","1301","LC/MS Pos","603","147.19999999999999","56-87-1","5962","C00047","HMDB00182"
"219","lysylleucine","Peptide","Dipeptide","40020","LC/MS Pos","1546","260.2","7369-79-1","7016103",NA,NA
"220","lysyllysine",NA,NA,"42090","LC/MS Pos","533","138.19999999999999","13184-13-9","4293571",NA,NA
"221","malate","Energy","Krebs cycle","1303","GC/MS","1502","233","6915-15-7","525","C00149","HMDB00156"
"222","maltohexaose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","35170","LC/MS Neg","1224","989.1","34620-77-4","5288409","C01936","HMDB12253"
"223","maltopentaose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","35163","LC/MS Neg","1100","827.1","34620-76-3","3710145","C06218","HMDB12254"
"224","maltose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","15804","GC/MS","2176.1999999999998","204.1","6363-53-7","439341","C00208","HMDB00163"
"225","maltotetraose","Carbohydrate","Oligosaccharide","15910","LC/MS Neg","965","665.1","34612-38-9","439639; 25147451; 870","C02052","HMDB01296"
"226","maltotriose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","15877","GC/MS","2419","204","1109-28-0","439586","C01835","HMDB01262"
"227","mannitol","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","15335","GC/MS","1839","319.10000000000002","69-65-8","6251","C00392","HMDB00765"
"228","mannose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","584","GC/MS","1753.5","203.9","3458-28-4","161658","C00159","HMDB00169"
"229","margarate (17:0)","Lipid","Long chain fatty acid","1121","LC/MS Neg","5733","269.3","506-12-7","10465",NA,"HMDB02259"
"230","metformin","Xenobiotics","Drug","39972","GC/MS","1746.4","284.10000000000002","1115-70-4","4091","C07151","HMDB01921"
"231","methionylasparagine","Peptide","Dipeptide","40686","LC/MS Pos","1060.3","264.10000000000002","36261-61-7","333467",NA,NA
"232","methionylglycine","Peptide","Dipeptide","40717","LC/MS Pos","1478","207.1","14486-03-4","259185",NA,NA
"233","methionylleucine","Peptide","Dipeptide","40023","LC/MS Pos","2698","263.2","14486-16-9","3425788",NA,NA
"234","methionylphenylalanine","Peptide","Dipeptide","41441","LC/MS Pos","3042","297.2","14492-14-9","100048",NA,NA
"235","methyl-alpha-glucopyranoside","Xenobiotics","Chemical","20714","LC/MS Pos","1087","212.1","97-30-3","64947","C02603",NA
"236","methylphosphate","Nucleotide","Purine and pyrimidine metabolism","37070","GC/MS","1221","240.9","7023-27-0","13130",NA,NA
"237","metoprolol","Xenobiotics","Drug","18037","LC/MS Pos","3205","268.2","56392-17-7","4171","C07202,D02358","HMDB01932"
"238","myristate (14:0)","Lipid","Long chain fatty acid","1365","LC/MS Neg","5439","227.3","544-63-8","11005","C06424","HMDB00806"
"239","myristoleate (14:1n5)","Lipid","Long chain fatty acid","32418","LC/MS Neg","5338","225.3","544-64-9","5281119","C08322","HMDB02000"
"240","myristoylcarnitine","Lipid","Carnitine metabolism","33952","LC/MS Pos","5113","372.4","18822-89-4","6426854",NA,NA
"241","N1-Methyl-2-pyridone-5-carboxamide","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","40469","LC/MS Pos","1707.3","153.19999999999999","701-44-0","69698","C05842","HMDB04193"
"242","N1-methyladenosine","Nucleotide","Purine metabolism, adenine containing","15650","LC/MS Pos","1356","282.10000000000002","15763-06-1","27476","C02494","HMDB03331"
"243","N1-methylguanosine","Nucleotide","Purine metabolism, guanine containing","31609","LC/MS Pos","1850","298.10000000000002","2140-65-0","96373",NA,"HMDB01563"
"244","N2,N2-dimethylguanosine","Nucleotide","Purine metabolism, guanine containing","35137","LC/MS Pos","2157","312.10000000000002","2140-67-2","92919",NA,"HMDB04824"
"245","N2-methylguanosine","Nucleotide","Purine metabolism, guanine containing","35133","LC/MS Pos","1950","298.10000000000002","2140-77-4","3035422",NA,"HMDB05862"
"246","N-6-trimethyllysine","Amino acid","Lysine metabolism","1498","LC/MS Pos","650","189.2","23284-33-5","159659","C03793","HMDB01325"
"247","N-acetylalanine","Amino acid","Alanine and aspartate metabolism","1585","LC/MS Neg","882","130.1","97-69-8","88064","C02847","HMDB00766"
"248","N-acetylasparagine","Amino acid","Alanine and aspartate metabolism","33942","LC/MS Pos","974","175.1","4033-40-3","99715",NA,"HMDB06028"
"249","N-acetylaspartate (NAA)","Amino acid","Alanine and aspartate metabolism","22185","LC/MS Pos","1222","176.1","997-55-7","65065","C01042","HMDB00812"
"250","N-acetylaspartate (NAA)","Amino acid","Alanine and aspartate metabolism","22185","LC/MS Pos","1222","176.1","997-55-7","65065","C01042","HMDB00812"
"251","N-acetyl-aspartyl-glutamate (NAAG)","Amino acid","Glutamate metabolism","35665","LC/MS Pos","1563","305","3106-85-2","5255","C12270","HMDB01067"
"252","N-acetylglucosamine","Carbohydrate","Aminosugars metabolism","15095","GC/MS","1903.3","245","7512-17-6","24139","C00140","HMDB00215"
"253","N-acetylglucosamine 6-phosphate","Carbohydrate","Aminosugars metabolism","15107","LC/MS Neg","628","300.10000000000002","102029-88-9","440996; 25243963","C00357","HMDB02817"
"254","N-acetylglutamine","Amino acid","Glutamate metabolism","33943","LC/MS Pos","1204","189.1","2490-97-3","182230","C02716","HMDB06029"
"255","N-acetylglycine","Amino acid","Glycine, serine and threonine metabolism","27710","GC/MS","1396.4","143.9","543-24-8","10972",NA,"HMDB00532"
"256","N-acetylleucine","Amino acid","Valine, leucine and isoleucine metabolism","1587","LC/MS Pos","3444","174.1","1188-21-2","70912","C02710","HMDB11756"
"257","N-acetylmethionine","Amino acid","Cysteine, methionine, SAM, taurine metabolism","1589","LC/MS Pos","2588","192.1","65-82-7","448580","C02712","HMDB11745"
"258","N-acetylphenylalanine","Amino acid","Phenylalanine & tyrosine metabolism","33950","LC/MS Neg","2590","206.2","2018-61-3","74839","C03519","HMDB00512"
"259","N-acetylserine","Amino acid","Glycine, serine and threonine metabolism","37076","GC/MS","1526","218","97-14-3","65249",NA,"HMDB02931"
"260","N-acetyltryptophan","Amino acid","Tryptophan metabolism","33959","LC/MS Neg","2650","245.2","1218-34-4","700653","C03137",NA
"261","N-acetyltyrosine","Amino acid","Phenylalanine & tyrosine metabolism","32390","LC/MS Neg","1677","222.2","537-55-3","68310",NA,"HMDB00866"
"262","N-acetylvaline","Amino acid","Valine, leucine and isoleucine metabolism","1591","LC/MS Pos","2654","160.1","96-81-1","66789",NA,"HMDB11757"
"263","naproxen","Xenobiotics","Drug","12122","LC/MS Neg","4168","228.9","22204-53-1","156391","C01517","HMDB01923"
"264","nervonate (24:1n9)","Lipid","Long chain fatty acid","41820","GC/MS","2201","423.4","506-37-6","5281120","C08323","HMDB02368"
"265","nicotinamide","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","594","LC/MS Pos","1267","123.1","98-92-0","936","C00153","HMDB01406"
"266","nicotinamide adenine dinucleotide reduced (NADH)","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","31475","LC/MS Neg","1554","664.1","58-68-4","439153","C00004","HMDB01487"
"267","nicotinamide adenine dinucleotide reduced (NADH)","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","31475","LC/MS Neg","1554","664.1","606-68-8","439153","C00004","HMDB01487"
"268","nicotinamide ribonucleotide (NMN)","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","22152","LC/MS Pos","886","335.1","1094-61-7","14180","C00455","HMDB00229"
"269","nicotinate","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","1504","LC/MS Neg","1221","122.1","59-67-6","938","C00253","HMDB01488"
"270","N-methylglutamate","Amino acid","Glutamate metabolism","31532","GC/MS","1665","260.2","35989-16-3","439377","C01046",NA
"271","octanoylcarnitine","Lipid","Carnitine metabolism","33936","LC/MS Pos","4100","288.3","3671-77-0","123701",NA,NA
"272","oleate (18:1n9)","Lipid","Long chain fatty acid","1359","GC/MS","1984.4","339.2","112-80-1","445639","C00712","HMDB00207"
"273","ophthalmate","Amino acid","Glutathione metabolism","34592","LC/MS Neg","920","288.10000000000002","495-27-2","7018721",NA,"HMDB05765"
"274","ornithine","Amino acid","Urea cycle; arginine-, proline-, metabolism","1493","GC/MS","1763.8","141.9","3184-13-2","6262","C00077","HMDB03374"
"275","p-acetamidophenylglucuronide","Xenobiotics","Drug","33423","LC/MS Neg","1377","326.10000000000002","120595-80-4","4022661",NA,"HMDB10316"
"276","palmitate (16:0)","Lipid","Long chain fatty acid","1336","LC/MS Neg","5619","255.3","57-10-3","985","C00249","HMDB00220"
"277","palmitoleate (16:1n7)","Lipid","Long chain fatty acid","33447","LC/MS Neg","5477","253.3","373-49-9","445638","C08362","HMDB03229"
"278","palmitoylcarnitine","Lipid","Carnitine metabolism","22189","LC/MS Pos","5179","400.4","6865-14-1","461",NA,NA
"279","pantothenate","Cofactors and vitamins","Pantothenate and CoA metabolism","1508","LC/MS Pos","2218","220.1","137-08-6","6613","C00864","HMDB00210"
"280","paroxetine","Xenobiotics","Drug","40461","LC/MS Pos","4222","330.2","110429-49-8","43815","D02362,C07415",NA
"281","p-cresol sulfate","Amino acid","Phenylalanine & tyrosine metabolism","36103","LC/MS Neg","2896","187.1","3233-57-7","2879","C01468",NA
"282","pelargonate (9:0)","Lipid","Medium chain fatty acid","12035","LC/MS Neg","4847","157.19999999999999","112-05-0","8158","C01601","HMDB00847"
"283","penicillin G","Xenobiotics","Drug","37468","LC/MS Pos","3314","335.2","69-57-8","5904","C05551",NA
"284","pentadecanoate (15:0)","Lipid","Long chain fatty acid","1361","GC/MS","1853.5","299.2","1002-84-2","13849","C16537","HMDB00826"
"285","phenol red","Xenobiotics","Chemical","36817","LC/MS Neg","3650","353.1","143-74-8","4766","C12600",NA
"286","phenol sulfate","Amino acid","Phenylalanine & tyrosine metabolism","32553","LC/MS Neg","2150","173.1","937-34-8","74426","C02180",NA
"287","phenylacetylglutamine","Amino acid","Phenylalanine & tyrosine metabolism","35126","LC/MS Pos","2868","265.2","28047-15-6","306137","C04148","HMDB06344"
"288","phenylalanylarginine","Peptide","Dipeptide","41487","LC/MS Pos","1553","322.2","1238-09-1","10268029",NA,NA
"289","phenylalanylaspartate","Peptide","Dipeptide","41419","LC/MS Pos","1901","281.10000000000002","22828-05-3","6992643",NA,NA
"290","phenylalanylglutamate","Peptide","Dipeptide","41432","LC/MS Pos","2005","295.2","3617-45-6","151134",NA,NA
"291","phenylalanylglycine","Peptide","Dipeptide","41370","LC/MS Neg","2460.8000000000002","221.1","721-90-4","98207",NA,NA
"292","phenylalanylleucine","Peptide","Dipeptide","40192","LC/MS Pos","3252","279.2","3303-55-7","4078229",NA,NA
"293","phenylalanylproline","Peptide","Dipeptide","41392","LC/MS Neg","3170","261.2","7669-65-0","7020641",NA,NA
"294","phenylalanylserine","Peptide","Dipeptide","40016","LC/MS Pos","1808","253.1","16053-39-7","193508",NA,NA
"295","phenylalanylvaline","Peptide","Dipeptide","41393","LC/MS Pos","2570","265.10000000000002","3918-90-9","7359121",NA,NA
"296","phosphate","Energy","Oxidative phosphorylation","11438","GC/MS","1307.7","298.89999999999998","7664-38-2","1061","C00009","HMDB01429"
"297","phosphoenolpyruvate (PEP)","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","597","GC/MS","1595.4","369","10526-80-4","1005","C00074","HMDB00263"
"298","pipecolate","Amino acid","Lysine metabolism","1444","LC/MS Pos","1120","130.1","4043-87-2","849","C00408","HMDB00070"
"299","piperine","Xenobiotics","Food component/Plant","33935","LC/MS Pos","5136","286.2","94-62-2","638024","C03882",NA
"300","pregnanediol-3-glucuronide","Lipid","Sterol/Steroid","40708","LC/MS Neg","5136.8999999999996","495.4","1852-49-9","123796",NA,NA
"301","pro-hydroxy-pro","Peptide","Dipeptide","35127","LC/MS Pos","960","229.2","18684-24-7","11902892",NA,"HMDB06695"
"302","propionylcarnitine","Lipid","Fatty acid metabolism (also BCAA metabolism)","32452","LC/MS Pos","1589","218.2","17298-37-2","107738","C03017","HMDB00824"
"303","prostaglandin A2","Lipid","Eicosanoid","19761","LC/MS Neg","4875","333.3","13345-50-1","5280880","C05953","HMDB02752"
"304","prostaglandin E2","Lipid","Eicosanoid","7746","LC/MS Neg","4562","351.3","363-24-6","5280360","C00584","HMDB01220"
"305","pyridoxal","Cofactors and vitamins","Pyridoxal metabolism","1651","LC/MS Pos","1210","168.1","65-22-5","1050","C00250","HMDB01545"
"306","pyridoxate","Cofactors and vitamins","Vitamin B6 metabolism","31555","LC/MS Neg","2210","182.1","82-82-6","6723","C00847","HMDB00017"
"307","pyrophosphate (PPi)","Energy","Oxidative phosphorylation","2078","GC/MS","1642.3","451","1466-09-3","644102","C00013","HMDB00250"
"308","quinidine","Xenobiotics","Drug","39766","LC/MS Pos","2712.6","325.3","56-54-2","441074",NA,NA
"309","quinolinate","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","1899","GC/MS","1697.7","296.10000000000002","89-00-9","1066","C03722","HMDB00232"
"310","ranitidine","Xenobiotics","Drug","38595","LC/MS Pos","1967","315.10000000000002","66357-59-3","3001055","D00422","HMDB01930"
"311","riboflavin (Vitamin B2)","Cofactors and vitamins","Riboflavin metabolism","1827","LC/MS Pos","3111","377.2","83-88-5","493570","C00255","HMDB00244"
"312","ribose","Carbohydrate","Nucleotide sugars, pentose metabolism","12080","GC/MS","1639.2","204","50-69-1","5779","C00121","HMDB00283"
"313","ribulose","Carbohydrate","Nucleotide sugars, pentose metabolism","35855","GC/MS","1662","306.10000000000002","488-84-6","12358756","C00309","HMDB00621,HMDB03371"
"314","saccharopine","Amino acid","Lysine metabolism","1495","GC/MS","2082.1","357.2","997-68-2","160556","C00449","HMDB00279"
"315","salicylate","Xenobiotics","Drug","1515","LC/MS Neg","2226","137.1","69-72-7","338","C00805","HMDB01895"
"316","sedoheptulose-7-phosphate","Carbohydrate","Nucleotide sugars, pentose metabolism","35649","GC/MS","2070","691.35","2646-35-7","616","C05382","HMDB01068"
"317","sorbitol","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","15053","GC/MS","1843","319.10000000000002","6706-59-8","5780","C00794","HMDB00247"
"318","spermidine","Amino acid","Polyamine metabolism","485","LC/MS Pos","533","146.19999999999999","124-20-9","1102","C00315","HMDB01257"
"319","spermine","Amino acid","Polyamine metabolism","603","LC/MS Pos","506","203.2","71-44-3","1103","C00750","HMDB01256"
"320","sphinganine","Lipid","Sphingolipid","17769","LC/MS Pos","5175","302.3","3102-56-5","91486; 46878428","C00836","HMDB00269"
"321","sphingosine","Lipid","Sphingolipid","17747","LC/MS Pos","5197","300.2","123-78-4","5280335; 46878424","C00319","HMDB00252"
"322","squalene","Lipid","Sterol/Steroid","1518","GC/MS","2205","69","111-02-4","638072","C00751","HMDB00256"
"323","stachydrine","Xenobiotics","Food component/Plant","34384","LC/MS Pos","860","144.1","4136-37-2","115244","C10172","HMDB04827"
"324","stearate (18:0)","Lipid","Long chain fatty acid","1358","LC/MS Neg","5886","283.39999999999998","57-11-4","5281","C01530","HMDB00827"
"325","stearidonate (18:4n3)","Lipid","Long chain fatty acid","33969","LC/MS Neg","5381","275.3","111174-40-4","5312508","C16300","HMDB06547"
"326","streptomycin","Xenobiotics","Drug","39872","LC/MS Pos","543.29999999999995","300.8","3810-74-0","19648",NA,NA
"327","succinate","Energy","Krebs cycle","1437","GC/MS","1348","247","110-15-6","1110","C00042","HMDB00254"
"328","tartarate","Xenobiotics","Food component/Plant","15336","GC/MS","1626.1","292.10000000000002","87-69-4","875","C00898","HMDB00956"
"329","tartarate","Xenobiotics","Food component/Plant","15336","GC/MS","1626.1","292.10000000000002","6106-24-7","875","C00898","HMDB00956"
"330","theobromine","Xenobiotics","Xanthine metabolism","18392","LC/MS Pos","2136","181.1","83-67-0","5429","C07480","HMDB02825"
"331","threitol","Carbohydrate","Nucleotide sugars, pentose metabolism","35854","GC/MS","1513","217.1","2418-52-2","169019","C16884","HMDB04136"
"332","threonate","Cofactors and vitamins","Ascorbate and aldarate metabolism","27738","GC/MS","1560.7","292.10000000000002","70753-61-6","5460407; 439535; 21145021","C01620","HMDB00943"
"333","threonylleucine","Peptide","Dipeptide","40051","LC/MS Pos","2204","233.2","50299-12-2","7021827",NA,NA
"334","thymidine","Nucleotide","Pyrimidine metabolism, thymine containing","39539","LC/MS Neg","1935","284.8","50-89-5","5789","C00214","HMDB00273"
"335","thymine","Nucleotide","Pyrimidine metabolism, thymine containing","604","GC/MS","1429.1","255","65-71-4","1135","C00178","HMDB00262"
"336","trans-urocanate","Amino acid","Histidine metabolism","607","LC/MS Pos","1119","139.1","104-98-3","736715","C00785","HMDB00301"
"337","trigonelline (N'-methylnicotinate)","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","32401","LC/MS Pos","757","138.1","6138-41-6","5570",NA,"HMDB00875"
"338","tryptophan betaine","Amino acid","Tryptophan metabolism","37097","LC/MS Pos","2464","247.1","20671-76-5","442106","C09213",NA
"339","tryptophylglutamate","Peptide","Dipeptide","41401","LC/MS Pos","2246","334.2","36099-95-3","3634442",NA,NA
"340","tryptophylleucine","Peptide","Dipeptide","40080","LC/MS Pos","3369","318.2","13123-35-8","323786",NA,NA
"341","tyrosylglycine","Peptide","Dipeptide","41375","LC/MS Pos","1596.8","239.1","673-05-5","259323",NA,NA
"342","tyrosylphenylalanine","Peptide","Dipeptide","41492","LC/MS Pos","2890","329.2","17355-11-2","3421919",NA,NA
"343","tyrosyltyrosine","Peptide","Dipeptide","40667","LC/MS Pos","2177","345.2","1050-28-8","70590; 5057430",NA,NA
"344","undecanedioate","Lipid","Fatty acid, dicarboxylate","35671","LC/MS Neg","2376","215.1","1852-04-6","15816",NA,"HMDB00888"
"345","uracil","Nucleotide","Pyrimidine metabolism, uracil containing","605","GC/MS","1370.4","241","66-22-8","1174","C00106","HMDB00300"
"346","uridine","Nucleotide","Pyrimidine metabolism, uracil containing","606","LC/MS Neg","1430","243.1","58-96-8","6029","C00299","HMDB00296"
"347","valylalanine","Peptide","Dipeptide","41518","LC/MS Pos","1278.5999999999999","189.1","27493-61-4","6992637",NA,NA
"348","valylarginine","Peptide","Dipeptide","42072","LC/MS Pos","794.2","274.2","37682-75-0","4266827",NA,NA
"349","valylaspartate","Peptide","Dipeptide","40650","LC/MS Pos","1073.3","233.1","20556-16-5","7009608",NA,NA
"350","valylglutamate","Peptide","Dipeptide","32454","LC/MS Pos","1346","247.1","3062-07-5","7009623",NA,NA
"351","valylglutamine","Peptide","Dipeptide","42079","LC/MS Pos","1102","246.2","42854-54-6","7016044",NA,NA
"352","valylglycine","Peptide","Dipeptide","40475","LC/MS Pos","1330","175.1","686-43-1","136487",NA,NA
"353","valyllysine","Peptide","Dipeptide","41384","LC/MS Neg","1601.8","244.2","22677-62-9","168058",NA,NA
"354","valylmethionine","Peptide","Dipeptide","40674","LC/MS Pos","2000","249.1","14486-09-0","6993038",NA,NA
"355","valylserine","Peptide","Dipeptide","40716","LC/MS Neg","1332","203.2","15388-94-8","139506",NA,NA
"356","valyltryptophan","Peptide","Dipeptide","40649","LC/MS Pos","2830","304.2","24587-37-9","168182",NA,NA
"357","valyltyrosine","Peptide","Dipeptide","40697","LC/MS Pos","2000","281.2","3061-91-4","7009554",NA,NA
"358","vanillylmandelate (VMA)","Amino acid","Phenylalanine & tyrosine metabolism","1567","GC/MS","1806.8","297.10000000000002","55-10-7","1245","C05584","HMDB00291"
"359","venlafaxine","Xenobiotics","Drug","38623","LC/MS Pos","3700","278.2","93413-69-5","5656","C07187","HMDB05016"
"360","xanthine","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing","3147","LC/MS Pos","1430","153.1","69-89-6","1188","C00385","HMDB00292"
"361","xanthosine","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing","15136","LC/MS Pos","1785","285","146-80-5","64959","C01762","HMDB00299"
"362","xylitol","Carbohydrate","Nucleotide sugars, pentose metabolism","41319","GC/MS","1677.6","217","87-99-0","6912","C00379","HMDB00568"
"363","xylonate","Carbohydrate","Nucleotide sugars, pentose metabolism","35638","GC/MS","1722","292","73686-31-7","6602431","C05411",NA
"364","xylose","Carbohydrate","Nucleotide sugars, pentose metabolism","15835","GC/MS","1723.9","204","609-06-3","135191","C00181","HMDB00098"
"365","xylulose","Carbohydrate","Nucleotide sugars, pentose metabolism","18344","GC/MS","1668","306.10000000000002","551-84-8","5289590","C00310","HMDB00654"
