"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"PLATFORM";"RI";"MASS";"manual_correction";"correction_tbl"
"129";"butyrylcarnitine";"25576-40-3";"Lipid";"Fatty acid metabolism (also BCAA metabolism)";"32412";"213144, 439829";"C02862";"HMDB0002013, HMDB0062510";"21949, 7676";"LC/MS Pos";"2007";"232.2";FALSE;NA
"130";"caprate (10:0)";"112-37-8";"Lipid";"Medium chain fatty acid";"1642";"2969";"C01571";"HMDB0000511";"30813, 27689";"LC/MS Neg";"5092";"171.2";FALSE;NA
"131";"caproate (6:0)";"142-62-1";"Lipid";"Medium chain fatty acid";"32489";"8892, 4398339";"C01585";"HMDB0000535, HMDB0061883";"30776, 17120";"LC/MS Neg";"2766";"115.2";FALSE;NA
"132";"caprylate (8:0)";"124-07-2";"Lipid";"Medium chain fatty acid";"32492";"379, 119389";"C06423";"HMDB0000482, HMDB0062511, HMDB0304443";"28837, 25646";"LC/MS Neg";"4367";"143.19999999999999";FALSE;NA
"133";"carnitine";"461-05-2";"Lipid";"Carnitine metabolism";"15500";"10917, 288, 85";"C00318";"HMDB0000062, HMDB0001467";"16347, 17126, 3424";"LC/MS Pos";"702";"162.19999999999999";FALSE;NA
"134";"catechol sulfate";NA;"Xenobiotics";"Benzoate metabolism";"35320";"3083879";NA;"HMDB0059724, HMDB0061713";"68505";"LC/MS Neg";"1928";"188.9";TRUE;"completely_incompatible_manual_no_cas"
"135";"1-palmitoleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"33230";NA;NA;NA;NA;"LC/MS Pos";"5524";"494.3";FALSE;NA
"136";"celecoxib";"169590-42-5";"Xenobiotics";"Drug";"38599";"2662";"C07589";"HMDB0005014";"41423";"LC/MS Neg";"5257.9";"380.2";FALSE;NA
"137";"chiro-inositol";"643-12-9";"Lipid";"Inositol metabolism";"37112";NA;"C19891";"HMDB0240209";"27372";"GC/MS";"1857";"318.10000000000002";FALSE;NA
"138";"cholate";"81-25-4";"Lipid";"Bile acid metabolism";"22842";"160636, 221493, 5283874, 5460314";"C17737, C00695";"HMDB0000505, HMDB0000619";"81308, 16359, 29747";"LC/MS Neg";"5148";"407.4";FALSE;NA
"139";"cholesterol";"57-88-5";"Lipid";"Sterol/Steroid";"63";"5997, 5314029";"C00187";"HMDB0000067, HMDB0000507, HMDB0062453";"16113";"GC/MS";"2316.9";"329.3";FALSE;NA
"140";"choline";"67-48-1";"Lipid";"Glycerolipid metabolism";"15506";"6209";NA;NA;NA;"LC/MS Pos";"674";"104.2";FALSE;NA
"141";"choline phosphate";"72556-74-2";"Lipid";"Glycerolipid metabolism";"34396";"135437";NA;NA;NA;"LC/MS Pos";"695";"184.1";FALSE;NA
"142";"cinnamoylglycine";NA;"Xenobiotics";"Food component/Plant";"38637";"709625";NA;"HMDB0011621";"68616";"LC/MS Neg";"3139";"204.1";FALSE;NA
"143";"cis-aconitate";"585-84-2";"Energy";"Krebs cycle";"12025";"643757";"C00417";"HMDB0000072, HMDB0000461";"32805, 16383";"LC/MS Neg";"603";"173.1";FALSE;NA
"144";"cis-vaccenate (18:1n7)";"693-72-1";"Lipid";"Long chain fatty acid";"33970";"5281127, 5282761";"C08367";"HMDB0003231, HMDB0240219, HMDB0010377";"28727, 50464, 30827";"GC/MS";"1987";"339.3";FALSE;NA
"145";"citalopram";"21986-53-7";"Xenobiotics";"Drug";"38651";"2771";"C07572";"HMDB0005038";"77397, 3723";"LC/MS Pos";"3771.8";"325.2";FALSE;NA
"146";"1-palmitoleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34565";NA;NA;NA;NA;"LC/MS Pos";"5521.4";"452.3";FALSE;NA
"147";"citramalate";"6236-10-8";"Amino acid";"Valine, leucine and isoleucine metabolism";"22158";"1081";"C00815";"HMDB0000426";"15584, 13997";"GC/MS";"1490.7";"247";FALSE;NA
"148";"citrate";"77-92-9";"Energy";"Krebs cycle";"1564";"311, 31348";"C00158";"HMDB0000094";"30769, 16947";"GC/MS";"1763.4";"273.10000000000002";FALSE;NA
"149";"citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"9750, 833";"C00327";"HMDB0000904, HMDB0250742";"16349, 57743, 18211, 49007";"LC/MS Pos";"715";"176.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"150";"codeine";"76-57-3";"Xenobiotics";"Drug";"39610";"5284371";"C06174";"HMDB0004995, HMDB0014463";"16714, 57871";"LC/MS Pos";"2201.1";"300.2";FALSE;NA
"151";"cortisol";"50-23-7";"Lipid";"Sterol/Steroid";"1712";"5754";"C00735";"HMDB0000063, HMDB0014879";"17650, 180955";"LC/MS Pos";"4573";"363.2";FALSE;NA
"152";"cortisone";"53-06-5";"Lipid";"Sterol/Steroid";"1769";"222786";"C00762";"HMDB0002802";"16962";"LC/MS Pos";"4420";"361.2";FALSE;NA
"153";"creatine";"57-00-1";"Amino acid";"Creatine metabolism";"27718";"586";"C00300";"HMDB0000064";"16919, 57947";"LC/MS Pos";"758";"132.1";FALSE;NA
"154";"creatinine";"60-27-5";"Amino acid";"Creatine metabolism";"513";"588, 26009888";"C00791";"HMDB0000562";"16737";"LC/MS Pos";"730";"114.1";FALSE;NA
"155";"cysteine";"52-90-4, 56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"31453";"594, 92851, 5862";"C00097";"HMDB0000574, HMDB0003417";"17561, 35235, 15356, 16375";"GC/MS";"1560.1";"218";FALSE;NA
"156";"cysteine-glutathione disulfide";"13081-14-6";"Amino acid";"Glutathione metabolism";"35159";"53477713, 65359, 11215652, 11767258";"C00127";"HMDB0000656, HMDB0003337";"143243, 17858, 167606";"LC/MS Pos";"821";"427.1";FALSE;NA
"157";"1-palmitoylglycerol (1-monopalmitin)";"542-44-9";"Lipid";"Monoacylglycerol";"21127";"14900";NA;"HMDB0245964";"69081";"GC/MS";"2119.5";"371.3";FALSE;NA
"158";"cysteinylglycine";"19246-18-5";"Peptide";"Dipeptide";"35637";"439498";"C01419";"HMDB0000078, HMDB0028775";"4047, 61694";"LC/MS Neg";"881";"177";FALSE;NA
"159";"cystine";"56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"39512";"67678, 595";"C00491, C01420";"HMDB0000192, HMDB0250712";"16283, 35491, 17376, 35494, 35492";"GC/MS";"2015.3";"145.9";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"160";"cytidine";"65-46-3";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"514";"6175";"C00475";"HMDB0000089";"17562";"LC/MS Pos";"1065";"244";FALSE;NA
"161";"cytidine 5'-diphosphocholine";"33818-15-4";"Lipid";"Glycerolipid metabolism";"34418";NA;NA;NA;NA;"LC/MS Pos";"777";"489.1";FALSE;NA
"162";"cytidine 5'-monophosphate (5'-CMP)";"63-37-6";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"2372";"6131, 7058165";"C00055";"HMDB0000095";"17361, 60377";"LC/MS Pos";"887";"324";FALSE;NA
"163";"cytidine-3'-monophosphate (3'-CMP)";"84-52-6";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"2959";"66535";"C05822";"HMDB0240312";"53013, 60875";"LC/MS Pos";"1181";"323.89999999999998";FALSE;NA
"164";"cytosine-2',3'-cyclic monophosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"417654";"C02354";"HMDB0011691, HMDB0250240";NA;"LC/MS Pos";"912";"306.2";TRUE;"completely_incompatible_manual_with_cas"
"165";"deoxycarnitine";"6249-56-5";"Lipid";"Carnitine metabolism";"36747";"725";"C01181";"HMDB0001161, HMDB0006831";"16244";"LC/MS Pos";"759";"146.1";FALSE;NA
"166";"dihomo-linoleate (20:2n6)";"2091-39-6";"Lipid";"Long chain fatty acid";"17805";"6439848";"C16525";"HMDB0005060";"73731, 77220";"LC/MS Neg";"5722";"307.3";FALSE;NA
"167";"dihomo-linolenate (20:3n3 or n6)";NA;"Lipid";"Essential fatty acid";"35718";"5280581, 5312529";"C03242, C16522";"HMDB0002925, HMDB0006735, HMDB0060039";"53460, 77223, 53486, 71589";"LC/MS Neg";"5600";"305.39999999999998";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"168";"1-palmitoylglycerophosphocholine";"17364-16-8";"Lipid";"Lysolipid";"33955";"86554";NA;"HMDB0256091";NA;"LC/MS Pos";"5671";"496.4";FALSE;NA
"169";"dihydrocholesterol";"80-97-7";"Lipid";"Sterol/Steroid";"21131";"6665";NA;"HMDB0000908";"86570";"GC/MS";"2320.8000000000002";"215.2";FALSE;NA
"170";"dimethylarginine (SDMA + ADMA)";NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"123831, 169148";"C03626";"HMDB0001539, HMDB0003334";"17929, 58326, 25682, 86468";"LC/MS Pos";"812";"203.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"171";"dimethylglycine";"1118-68-9";"Amino acid";"Glycine, serine and threonine metabolism";"5086";"673, 6971056";"C01026";"HMDB0000092";"17724, 58251";"GC/MS";"1030";"57.9";FALSE;NA
"172";"docosadienoate (22:2n6)";"7370-49-2";"Lipid";"Long chain fatty acid";"32415";"5282807, 5312554";"C16533";"HMDB0061714, HMDB0062219";"145970, 75117";"LC/MS Neg";"6017";"335.4";TRUE;"completely_incompatible_manual_with_cas"
"173";"docosahexaenoate (DHA, 22:6n3)";"6217-54-5";"Lipid";"Essential fatty acid";"19323";"445580, 24778483";"C06429";"HMDB0002183, HMDB0062579";"28125, 77016";"LC/MS Neg";"5518";"327.3";FALSE;NA
"174";"docosapentaenoate (n3 DPA 22:5n3)";"2234-74-4";"Lipid";"Essential fatty acid";"32504";"5497182, 6441454, 6438348";"C16513";"HMDB0001976, HMDB0060113, HMDB0013123, HMDB0006528";"53488, 77224, 65136, 77226";"LC/MS Neg";"5574";"329.4";TRUE;"completely_incompatible_manual_with_cas"
"175";"docosapentaenoate (n6 DPA, 22:5n6)";"25182-74-5";"Lipid";"Essential fatty acid";"37478";"445580, 24778483, 6441454, 6438348";"C06429";"HMDB0001976, HMDB0060113, HMDB0013123, HMDB0002183, HMDB0062579";"28125, 77016, 65136, 77226";"LC/MS Neg";"5625";"329.4";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"176";"docosatrienoate (22:3n3)";"59708-86-0";"Lipid";"Long chain fatty acid";"32417";"5312557, 5312556";"C16534";"HMDB0002823";"77807, 80549";"LC/MS Neg";"5825";"333.4";FALSE;NA
"177";"dodecanedioate";"693-23-2";"Lipid";"Fatty acid, dicarboxylate";"32388";"12736, 6991984";"C02678";"HMDB0000623";"4676, 76273";"LC/MS Neg";"2990";"229.2";FALSE;NA
"178";"eicosapentaenoate (EPA, 20:5n3)";"10-2005-9, 10417-94-4";"Lipid";"Essential fatty acid";"18467";"446284, 24778482";"C06428";"HMDB0001999";"28364, 58562";"LC/MS Neg";"5442";"301.3";FALSE;NA
"179";"1-palmitoylglycerophosphoethanolamine";NA;"Lipid";"Lysolipid";"35631";"9547069";NA;"HMDB0011503";"73004";"LC/MS Neg";"5940";"452.3";FALSE;NA
"180";"eicosenoate (20:1n9 or 11)";NA;"Lipid";"Long chain fatty acid";"33587";"5282768";"C16526";"HMDB0002231";"32425, 32426";"LC/MS Neg";"5955";"309.39999999999998";FALSE;NA
"181";"epinephrine";"51-43-4";"Amino acid";"Phenylalanine & tyrosine metabolism";"1578";"5816";"C00788";"HMDB0000068, HMDB0000615";"28918, 71406";"LC/MS Pos";"891";"184";FALSE;NA
"182";"ergothioneine";"58511-63-0";"Xenobiotics";"Food component/Plant";"37459";"5351619";"C05570";"HMDB0003045";"4828, 134344";"LC/MS Pos";"847";"230.2";FALSE;NA
"183";"erucate (22:1n9)";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"5281116, 5282772, 8216";"C08316";"HMDB0002068, HMDB0249369";"28792, 32393";"GC/MS";"2134";"395.4";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"184";"erythritol";"149-32-6";"Xenobiotics";"Sugar, sugar substitute, starch";"20699";"222285";"C00503";"HMDB0002994, HMDB0094689";"17113";"GC/MS";"1517.5";"217";FALSE;NA
"185";"erythronate*";"88759-55-1";"Carbohydrate";"Aminosugars metabolism";"33477";"2781043";NA;"HMDB0000613";"37655, 136591";"GC/MS";"1546.9";"292.10000000000002";FALSE;NA
"186";"ethanolamine";"141-43-5";"Lipid";"Glycerolipid metabolism";"1497";"700";"C00189";"HMDB0000149, HMDB0060149, HMDB0062693";"16000, 57603";"GC/MS";"1304";"174.1";FALSE;NA
"187";"flavin adenine dinucleotide (FAD)";"146-14-5, 84366-81-4";"Cofactors and vitamins";"Riboflavin metabolism";"2134";"643975, 703";"C00016";"HMDB0001248, HMDB0252293";"16238";"LC/MS Neg";"2413";"784.1";FALSE;NA
"188";"fructose";"57-48-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"577";"439709";"C00095, C02336";"HMDB0000660";"28645";"GC/MS";"1758";"217";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"189";"fructose 1-phosphate";"53823-70-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15907";"10400369, 25244216, 65246";"C01094";"HMDB0001076, HMDB0062538, HMDB0060467";"139419, 138881, 18105";"GC/MS";"1996.5";"445.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"190";"1-palmitoylglycerophosphoinositol*";NA;"Lipid";"Lysolipid";"35305";NA;NA;NA;NA;"LC/MS Neg";"5573";"571.29999999999995";FALSE;NA
"191";"fructose-6-phosphate";"103213-47-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"12021";"440641, 21604863";"C05345";"HMDB0003971";"16084, 57634";"GC/MS";"1994.9";"315.1";TRUE;"completely_incompatible_manual_with_cas"
"192";"fucose";"2438-80-4";"Carbohydrate";"Aminosugars metabolism";"15821";"439554, 17106";"C01019";"HMDB0000174, HMDB0059624";"42548, 2181";"GC/MS";"1682.2";"204";FALSE;NA
"193";"fumarate";"100-17-8";"Energy";"Krebs cycle";"1643";"444972, 5460307, 6183479";"C00122";"HMDB0000134";"18012, 29806, 37154";"GC/MS";"1382.1";"245";FALSE;NA
"194";"gabapentin";"60142-96-3";"Xenobiotics";"Drug";"38686";"3446";NA;"HMDB0005015";"42797";"LC/MS Pos";"2482";"172.2";FALSE;NA
"195";"galactose";"59-23-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"12055";"3037556";"C01582";NA;"17118";"GC/MS";"1793.8";"203.9";TRUE;"completely_incompatible_manual_with_cas"
"196";"gamma-aminobutyrate (GABA)";"56-12-2";"Amino acid";"Glutamate metabolism";"1416";"119, 5460232";"C00334";"HMDB0000112";"16865, 59888, 30566";"GC/MS";"1539.7";"304.10000000000002";FALSE;NA
"197";"gamma-glutamylcysteine";"636-58-8";"Peptide";"gamma-glutamyl";"1778";"123938, 7059430, 842";"C00669";"HMDB0001049, HMDB0029146, HMDB0303807";"17515, 58173";"LC/MS Pos";"1274";"251.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"198";"gamma-glutamylglutamate";"1116-22-9";"Peptide";"gamma-glutamyl";"36738";"92865";"C05282";"HMDB0011737, HMDB0029148";"73705";"LC/MS Pos";"1036";"277.10000000000002";FALSE;NA
"199";"gamma-glutamylglutamine";"10148-81-9";"Peptide";"gamma-glutamyl";"2730";"150914";"C05283";"HMDB0011738";"73707";"LC/MS Pos";"806";"276.10000000000002";FALSE;NA
"200";"gamma-glutamylisoleucine*";NA;"Peptide";"gamma-glutamyl";"34456";"22885096";NA;"HMDB0011170, HMDB0029152";"68434";"LC/MS Pos";"2644";"261.2";FALSE;NA
"201";"1-palmitoylplasmenylethanolamine*";NA;"Lipid";"Lysolipid";"39270";NA;NA;NA;NA;"LC/MS Neg";"6153";"436.4";FALSE;NA
"202";"gamma-glutamylleucine";"2566-39-4";"Peptide";"gamma-glutamyl";"18369";"151023";NA;"HMDB0011171, HMDB0029153";"68433";"LC/MS Pos";"2744";"261.2";FALSE;NA
"203";"gamma-glutamylphenylalanine";"7432-24-8";"Peptide";"gamma-glutamyl";"33422";"111299";NA;"HMDB0000594, HMDB0029562";"89582";"LC/MS Pos";"2846";"295.10000000000002";FALSE;NA
"204";"gamma-glutamylvaline";"2746-34-1";"Peptide";"gamma-glutamyl";"32393";"7015683";NA;"HMDB0011172, HMDB0029162";"68848";"LC/MS Pos";"2040";"247.2";FALSE;NA
"205";"gamma-tocopherol";"54-28-4";"Cofactors and vitamins";"Tocopherol metabolism";"33420";"92729";"C02483";"HMDB0001492, HMDB0002634";"18185";"GC/MS";"2264";"488.4";FALSE;NA
"206";"glucarate (saccharate)";"5793-88-4";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"1476";"33037";"C00818";"HMDB0000663, HMDB0029881";"16002, 30612";"GC/MS";"1885.8";"333.1";FALSE;NA
"207";"gluconate";"527-07-1";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"587";"10690";"C00257";"HMDB0000625, HMDB0003373";"33198, 18391";"GC/MS";"1879.4";"333";FALSE;NA
"208";"glucose";"50-99-7";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"20488";"64689, 5793, 107526, 79025";"C00221, C00031, C00267";"HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170, HMDB0003345, HMDB0061922";"15903, 4167, 42758, 17925";"GC/MS";"1866.8";"217.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"209";"glucose 1-phosphate";"56401-20-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15561";"65533, 439165";"C00103";"HMDB0001586, HMDB0001306";"29042, 16077, 58601";"GC/MS";"2017";"299.10000000000002";FALSE;NA
"210";"glucose-6-phosphate (G6P)";"103192-55-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"31260";"21604864, 439284, 5958, 439958, 23616120";"C00092, C00668";"HMDB0001401, HMDB0001549, HMDB0006793";"4170, 15954, 57584, 61548, 58225, 17665";"GC/MS";"2042.7";"387.2";TRUE;"completely_incompatible_manual_with_cas"
"211";"glucuronate";"207300-70-7";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15443";"444791";"C00191";"HMDB0000127";"42717";"GC/MS";"1886.5";"217";FALSE;NA
"212";"1-pentadecanoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"37418";NA;NA;NA;NA;"LC/MS Pos";"5563";"482.3";FALSE;NA
"213";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"33032, 14598502, 23327, 611, 4179667, 5128032";"C00025, C00217, C00302";"HMDB0000148, HMDB0003339, HMDB0060475";"18237, 14321, 29987, 15966, 29986, 16015, 29985";"LC/MS Pos";"700";"148.1";TRUE;"completely_incompatible_manual_with_cas"
"214";"glutamate, gamma-methyl ester";"1499-55-4";"Amino acid";"Glutamate metabolism";"33487";"68662";NA;"HMDB0061715";NA;"LC/MS Pos";"1062";"162.1";FALSE;NA
"215";"glutamine";"56-85-9";"Amino acid";"Glutamate metabolism";"53";"5961, 6992086, 145815, 738";"C00064";"HMDB0000641, HMDB0003423";"18050, 58359, 17061, 28300";"LC/MS Pos";"684";"147.19999999999999";FALSE;NA
"216";"glutarate (pentanedioate)";"110-94-1";"Amino acid";"Lysine metabolism";"396";"743";"C00489";"HMDB0000661";"17859, 30921";"GC/MS";"1433.6";"261";FALSE;NA
"217";"glutaroyl carnitine";"102636-82-8";"Amino acid";"Lysine metabolism";"35439";"53481622";NA;"HMDB0013130, HMDB0062587";"82952, 165628";"LC/MS Pos";"1565";"276.10000000000002";FALSE;NA
"218";"glutathione, oxidized (GSSG)";"103239-24-3";"Amino acid";"Glutathione metabolism";"27727";"53477713, 65359, 11215652, 11767258";"C00127";"HMDB0000656, HMDB0003337";"143243, 17858, 167606";"LC/MS Pos";"1535";"613.1";FALSE;NA
"219";"glutathione, reduced (GSH)";"70-18-8";"Amino acid";"Glutathione metabolism";"2127";"124886, 448106";"C00051";"HMDB0000125, HMDB0001463, HMDB0006960";"16856, 57925";"LC/MS Pos";"1274";"308.10000000000002";FALSE;NA
"220";"glycerate";"600-19-1";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"1572";"10140, 5460316, 439194, 5460358";"C00258, C01921";"HMDB0000138, HMDB0032596, HMDB0031818, HMDB0000139";"32398, 16659, 17687, 29746";"GC/MS";"1360.7";"189";FALSE;NA
"221";"glycerol";"56-81-5";"Lipid";"Glycerolipid metabolism";"15122";"753";"C00116";"HMDB0000131";"17754";"GC/MS";"1311";"205";FALSE;NA
"222";"glycerol 2-phosphate";"819-83-0";"Xenobiotics";"Chemical";"27728";"2526";"C02979";"HMDB0002520";"17270, 58083";"GC/MS";"1691.8";"243";FALSE;NA
"223";"1,5-anhydroglucitol (1,5-AG)";"154-58-5";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"20675";"64960";"C07326";"HMDB0002712, HMDB0011726, HMDB0011736";"16070";"GC/MS";"1788.7";"217";FALSE;NA
"224";"1-stearoylglycerol (1-monostearin)";"123-94-4";"Lipid";"Monoacylglycerol";"21188";"24699";NA;NA;"75555";"GC/MS";"2186.6";"399.4";FALSE;NA
"225";"glycerol 3-phosphate (G3P)";"29849-82-9";"Lipid";"Glycerolipid metabolism";"15365";"439162, 7048686, 754";"C00093, C03189";"HMDB0000126, HMDB0002722, HMDB0252849";"14336, 231935, 15978, 57597";"GC/MS";"1719.7";"357.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"226";"glycerophosphoethanolamine";"33049-08-0";"Lipid";"Glycerolipid metabolism";"37455";"123874";"C01233";"HMDB0000114";"52330";"GC/MS";"1906";"357.1";FALSE;NA
"227";"glycerophosphorylcholine (GPC)";"28319-77-9";"Lipid";"Glycerolipid metabolism";"15990";"657272";"C00670";"HMDB0000086, HMDB0000049";"16870";"LC/MS Pos";"694";"258.10000000000002";FALSE;NA
"228";"glycine";"56-40-6";"Amino acid";"Glycine, serine and threonine metabolism";"11777";"750";"C00037";"HMDB0000123";"15428, 57305";"GC/MS";"1166";"101.9";FALSE;NA
"229";"glycocholenate sulfate*";NA;"Lipid";"Bile acid metabolism";"32599";NA;NA;NA;NA;"LC/MS Neg";"4763";"254.8";FALSE;NA
"230";"glycolate (hydroxyacetate)";"79-14-1";"Xenobiotics";"Chemical";"15737";"757, 5460308";"C00160, C03547";"HMDB0000115, HMDB0003035";"17497, 29805";"GC/MS";"1119";"177";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"231";"glycolithocholate sulfate*";NA;"Lipid";"Bile acid metabolism";"32620";"72222, 443113, 3623888";"C11301";"HMDB0002639, HMDB0062801";"9347";"LC/MS Neg";"5015";"512.29999999999995";FALSE;NA
"232";"glycylglycine";"556-50-3";"Peptide";"Dipeptide";"21029";"11163";"C02037";"HMDB0011733";"17201, 356445";"GC/MS";"1757.9";"174";FALSE;NA
"233";"glycylisoleucine";"19461-38-2";"Peptide";"Dipeptide";"36659";NA;NA;NA;NA;"LC/MS Pos";"2080";"189.1";FALSE;NA
"234";"glycylleucine";"869-19-2";"Peptide";"Dipeptide";"34398";"92843";"C02155";"HMDB0000759";"73514, 143163";"LC/MS Pos";"2236";"189.1";FALSE;NA
"235";"1-stearoylglycerophosphocholine";"19420-57-6";"Lipid";"Lysolipid";"33961";"24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467";"C04230";"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493";"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975";"LC/MS Pos";"5844";"524.4";FALSE;NA
"236";"glycyllysine";"31461-63-9";"Peptide";"Dipeptide";"41529";"306144";NA;"HMDB0028846";NA;"GC/MS";"2088.3000000000002";"174.1";FALSE;NA
"237";"glycylmethionine";"554-94-9";"Peptide";"Dipeptide";"42012";"96757";NA;"HMDB0028847";NA;"LC/MS Pos";"1593";"207.1";FALSE;NA
"238";"glycylphenylalanine";"51-907-7";"Peptide";"Dipeptide";"33954";"1549344, 92953";NA;NA;NA;"LC/MS Neg";"2193";"221.2";TRUE;"completely_incompatible_manual_with_cas"
"239";"glycylproline";"704-15-4";"Peptide";"Dipeptide";"22171";"3013625";NA;"HMDB0000721";"70744, 73779";"LC/MS Pos";"1115";"173.1";FALSE;NA
"240";"glycylthreonine";"7093-70-1";"Peptide";"Dipeptide";"42050";"351980";NA;"HMDB0028851";NA;"GC/MS";"1911.1";"174.1";FALSE;NA
"241";"glycyltryptophan";NA;"Peptide";"Dipeptide";"38151";"1551340, 92181";NA;NA;NA;"LC/MS Pos";"2542";"262.4";TRUE;"completely_incompatible_manual_no_cas"
"242";"glycyltyrosine";"658-79-7";"Peptide";"Dipeptide";"33958";"92829";NA;"HMDB0028853";"73517";"LC/MS Pos";"1728";"239.1";FALSE;NA
"243";"glycylvaline";"1963-21-9";"Peptide";"Dipeptide";"18357";"2724807";NA;"HMDB0028854";"73922";"LC/MS Pos";"1572";"175.1";FALSE;NA
"244";"guanidinoacetate";"352-97-6";"Amino acid";"Guanidino and acetamido metabolism";"12359";"763";"C00581";"HMDB0000128";"16344, 57742";"GC/MS";"1696.6";"172";FALSE;NA
"245";"guanine";"73-40-5";"Nucleotide";"Purine metabolism, guanine containing";"418";"764";"C00242";"HMDB0000132";"16235";"GC/MS";"1942.3";"352.1";FALSE;NA
"246";"1-stearoylglycerophosphoethanolamine";"69747-55-3";"Lipid";"Lysolipid";"34416";"9547068";NA;"HMDB0011130";"75036";"LC/MS Pos";"5842";"482.3";FALSE;NA
"247";"guanosine";"118-00-3";"Nucleotide";"Purine metabolism, guanine containing";"1573";"6802";"C00387";"HMDB0000133";"16750";"LC/MS Neg";"1675";"282.10000000000002";FALSE;NA
"248";"guanosine 5'- monophosphate (5'-GMP)";"5550-12-9";"Nucleotide";"Purine metabolism, guanine containing";"2849";"135414246";NA;NA;NA;"LC/MS Pos";"1300";"364";FALSE;NA
"249";"gulono-1,4-lactone";"1128-23-0";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"33454";"439373, 608";"C01040, C05410";"HMDB0003466, HMDB0243497";"17587, 5571";"GC/MS";"1862";"333.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"250";"heme";"14875-96-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"41754";"444098";"C00032";"HMDB0003178";"17627, 26355, 30413, 60344";"LC/MS Pos";"5057";"616.20000000000005";FALSE;NA
"251";"hexanoylcarnitine";"6920-35-0";"Lipid";"Carnitine metabolism";"32328";"3246938, 6426853, 8892, 4398339";"C01585";"HMDB0000535, HMDB0061883, HMDB0000756, HMDB0000705";"30776, 17120, 84834, 70749";"LC/MS Pos";"3174";"260.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
