"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl"
"122";"beta-alanine";"56-41-7, 107-95-9";"Amino acid";"Alanine and aspartate metabolism";"55";"GC/MS";"1451.8";"174";"239";"C00099";"HMDB0000056";"CHEBI:16958, CHEBI:57966";FALSE;NA
"123";"beta-hydroxypyruvate";"3369-79-7";"Amino acid";"Glycine, serine and threonine metabolism";"15686";"GC/MS";"1425.1";"221";"4186339, 964";"C00168";"HMDB0001352";"CHEBI:17180, CHEBI:30841";FALSE;NA
"124";"1-oleoylglycerophosphoserine";NA;"Lipid";"Lysolipid";"19260";"LC/MS Neg";"5690";"522.29999999999995";"85036846, 9547099";NA;"HMDB0061694, HMDB0240603";"CHEBI:52649";FALSE;NA
"125";"beta-tocopherol";NA;"Cofactors and vitamins";"Tocopherol metabolism";"35702";"GC/MS";"2260";"488.3";"6857447";"C14152";"HMDB0006335";"CHEBI:47771";FALSE;NA
"126";"betaine";"107-43-7";"Amino acid";"Glycine, serine and threonine metabolism";"34426";"LC/MS Neg";"725";"178.1";"247, 248";"C00719";"HMDB0000043, HMDB0059606";"CHEBI:17750, CHEBI:41139";FALSE;NA
"127";"bilirubin (E,E)*";NA;"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"32586";"LC/MS Neg";"4242";"583.20000000000005";"21252250, 5280352, 5315454";"C00486";"HMDB0000054, HMDB0000488, HMDB0240584";"CHEBI:132996, CHEBI:16990, CHEBI:72719";FALSE;NA
"128";"bilirubin (Z,Z)";"635-65-4";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"27716";"LC/MS Neg";"4812";"583.20000000000005";"21252250, 5280352, 5315454";"C00486";"HMDB0000054, HMDB0000488, HMDB0240584";"CHEBI:132996, CHEBI:16990, CHEBI:72719";FALSE;NA
"129";"butyrylcarnitine";"25576-40-3";"Lipid";"Fatty acid metabolism (also BCAA metabolism)";"32412";"LC/MS Pos";"2007";"232.2";"213144, 439829";"C02862";"HMDB0002013, HMDB0062510";"CHEBI:21949, CHEBI:7676";FALSE;NA
"130";"caprate (10:0)";"112-37-8";"Lipid";"Medium chain fatty acid";"1642";"LC/MS Neg";"5092";"171.2";"2969";"C01571";"HMDB0000511";"CHEBI:27689, CHEBI:30813";FALSE;NA
"131";"caproate (6:0)";"142-62-1";"Lipid";"Medium chain fatty acid";"32489";"LC/MS Neg";"2766";"115.2";"4398339, 8892";"C01585";"HMDB0000535, HMDB0061883";"CHEBI:17120, CHEBI:30776";FALSE;NA
"132";"caprylate (8:0)";"124-07-2";"Lipid";"Medium chain fatty acid";"32492";"LC/MS Neg";"4367";"143.19999999999999";"119389, 379";"C06423";"HMDB0000482, HMDB0062511, HMDB0304443";"CHEBI:25646, CHEBI:28837";FALSE;NA
"133";"carnitine";"461-05-2";"Lipid";"Carnitine metabolism";"15500";"LC/MS Pos";"702";"162.19999999999999";"10917, 288, 85";"C00318";"HMDB0000062, HMDB0001467";"CHEBI:16347, CHEBI:17126, CHEBI:3424";FALSE;NA
"134";"catechol sulfate";NA;"Xenobiotics";"Benzoate metabolism";"35320";"LC/MS Neg";"1928";"188.9";"3083879";NA;"HMDB0059724, HMDB0061713";"CHEBI:68505";TRUE;"completely_incompatible_manual_no_cas"
"135";"1-palmitoleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"33230";"LC/MS Pos";"5524";"494.3";NA;NA;NA;NA;FALSE;NA
"136";"celecoxib";"169590-42-5";"Xenobiotics";"Drug";"38599";"LC/MS Neg";"5257.9";"380.2";"2662";"C07589";"HMDB0005014";"CHEBI:41423";FALSE;NA
"137";"chiro-inositol";"643-12-9";"Lipid";"Inositol metabolism";"37112";"GC/MS";"1857";"318.10000000000002";NA;"C19891";"HMDB0240209";"CHEBI:27372";FALSE;NA
"138";"cholate";"81-25-4";"Lipid";"Bile acid metabolism";"22842";"LC/MS Neg";"5148";"407.4";"160636, 221493, 5283874, 5460314";"C00695, C17737";"HMDB0000505, HMDB0000619";"CHEBI:16359, CHEBI:29747, CHEBI:81308";FALSE;NA
"139";"cholesterol";"57-88-5";"Lipid";"Sterol/Steroid";"63";"GC/MS";"2316.9";"329.3";"5314029, 5997";"C00187";"HMDB0000067, HMDB0000507, HMDB0062453";"CHEBI:16113";FALSE;NA
"140";"choline";"67-48-1";"Lipid";"Glycerolipid metabolism";"15506";"LC/MS Pos";"674";"104.2";"6209";NA;NA;NA;FALSE;NA
"141";"choline phosphate";"72556-74-2";"Lipid";"Glycerolipid metabolism";"34396";"LC/MS Pos";"695";"184.1";"135437";NA;NA;NA;FALSE;NA
"142";"cinnamoylglycine";NA;"Xenobiotics";"Food component/Plant";"38637";"LC/MS Neg";"3139";"204.1";"709625";NA;"HMDB0011621";"CHEBI:68616";FALSE;NA
"143";"cis-aconitate";"585-84-2";"Energy";"Krebs cycle";"12025";"LC/MS Neg";"603";"173.1";"643757";"C00417";"HMDB0000072, HMDB0000461";"CHEBI:16383, CHEBI:32805";FALSE;NA
"144";"cis-vaccenate (18:1n7)";"693-72-1";"Lipid";"Long chain fatty acid";"33970";"GC/MS";"1987";"339.3";"5281127, 5282761";"C08367";"HMDB0003231, HMDB0010377, HMDB0240219";"CHEBI:28727, CHEBI:30827, CHEBI:50464";FALSE;NA
"145";"citalopram";"21986-53-7";"Xenobiotics";"Drug";"38651";"LC/MS Pos";"3771.8";"325.2";"2771";"C07572";"HMDB0005038";"CHEBI:3723, CHEBI:77397";FALSE;NA
"146";"1-palmitoleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"34565";"LC/MS Pos";"5521.4";"452.3";NA;NA;NA;NA;FALSE;NA
"147";"citramalate";"6236-10-8";"Amino acid";"Valine, leucine and isoleucine metabolism";"22158";"GC/MS";"1490.7";"247";"1081";"C00815";"HMDB0000426";"CHEBI:13997, CHEBI:15584";FALSE;NA
"148";"citrate";"77-92-9";"Energy";"Krebs cycle";"1564";"GC/MS";"1763.4";"273.10000000000002";"311, 31348";"C00158";"HMDB0000094";"CHEBI:16947, CHEBI:30769";FALSE;NA
"149";"citrulline";"372-75-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"2132";"LC/MS Pos";"715";"176.1";"833, 9750";"C00327";"HMDB0000904, HMDB0250742";"CHEBI:16349, CHEBI:18211, CHEBI:57743";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"150";"codeine";"76-57-3";"Xenobiotics";"Drug";"39610";"LC/MS Pos";"2201.1";"300.2";"5284371";"C06174";"HMDB0004995, HMDB0014463";"CHEBI:16714, CHEBI:57871";FALSE;NA
"151";"cortisol";"50-23-7";"Lipid";"Sterol/Steroid";"1712";"LC/MS Pos";"4573";"363.2";"5754";"C00735";"HMDB0000063, HMDB0014879";"CHEBI:17650, CHEBI:180955";FALSE;NA
"152";"cortisone";"53-06-5";"Lipid";"Sterol/Steroid";"1769";"LC/MS Pos";"4420";"361.2";"222786";"C00762";"HMDB0002802";"CHEBI:16962";FALSE;NA
"153";"creatine";"57-00-1";"Amino acid";"Creatine metabolism";"27718";"LC/MS Pos";"758";"132.1";"586";"C00300";"HMDB0000064";"CHEBI:16919, CHEBI:57947";FALSE;NA
"154";"creatinine";"60-27-5";"Amino acid";"Creatine metabolism";"513";"LC/MS Pos";"730";"114.1";"26009888, 588";"C00791";"HMDB0000562";"CHEBI:16737";FALSE;NA
"155";"cysteine";"52-90-4, 56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"31453";"GC/MS";"1560.1";"218";"5862";"C00097";"HMDB0000574";"CHEBI:17561, CHEBI:35235";FALSE;NA
"156";"cysteine-glutathione disulfide";"13081-14-6";"Amino acid";"Glutathione metabolism";"35159";"LC/MS Pos";"821";"427.1";"11215652, 11767258, 53477713, 65359";"C00127";"HMDB0000656, HMDB0003337";"CHEBI:143243, CHEBI:167606, CHEBI:17858";FALSE;NA
"157";"1-palmitoylglycerol (1-monopalmitin)";"542-44-9";"Lipid";"Monoacylglycerol";"21127";"GC/MS";"2119.5";"371.3";"14900";NA;"HMDB0245964";"CHEBI:69081";FALSE;NA
"158";"cysteinylglycine";"19246-18-5";"Peptide";"Dipeptide";"35637";"LC/MS Neg";"881";"177";"439498";"C01419";"HMDB0000078, HMDB0028775";"CHEBI:4047, CHEBI:61694";FALSE;NA
"159";"cystine";"56-89-3";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"39512";"GC/MS";"2015.3";"145.9";"595, 67678";"C00491, C01420";"HMDB0000192, HMDB0250712";"CHEBI:16283, CHEBI:17376, CHEBI:35491, CHEBI:35492";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"160";"cytidine";"65-46-3";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"514";"LC/MS Pos";"1065";"244";"6175";"C00475";"HMDB0000089";"CHEBI:17562";FALSE;NA
"161";"cytidine 5'-diphosphocholine";"33818-15-4";"Lipid";"Glycerolipid metabolism";"34418";"LC/MS Pos";"777";"489.1";NA;NA;NA;NA;FALSE;NA
"162";"cytidine 5'-monophosphate (5'-CMP)";"63-37-6";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"2372";"LC/MS Pos";"887";"324";"6131, 7058165";"C00055";"HMDB0000095";"CHEBI:17361, CHEBI:60377";FALSE;NA
"163";"cytidine-3'-monophosphate (3'-CMP)";"84-52-6";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"2959";"LC/MS Pos";"1181";"323.89999999999998";"66535";"C05822";"HMDB0240312";"CHEBI:53013, CHEBI:60875";FALSE;NA
"164";"cytosine-2',3'-cyclic monophosphate";"15718-51-1";"Nucleotide";"Pyrimidine metabolism, cytidine containing";"37465";"LC/MS Pos";"912";"306.2";"417654";"C02354";"HMDB0011691, HMDB0250240";NA;TRUE;"completely_incompatible_manual_with_cas"
"165";"deoxycarnitine";"6249-56-5";"Lipid";"Carnitine metabolism";"36747";"LC/MS Pos";"759";"146.1";"725";"C01181";"HMDB0001161, HMDB0006831";"CHEBI:16244";FALSE;NA
"166";"dihomo-linoleate (20:2n6)";"2091-39-6";"Lipid";"Long chain fatty acid";"17805";"LC/MS Neg";"5722";"307.3";"6439848";"C16525";"HMDB0005060";"CHEBI:73731, CHEBI:77220";FALSE;NA
"167";"dihomo-linolenate (20:3n3 or n6)";NA;"Lipid";"Essential fatty acid";"35718";"LC/MS Neg";"5600";"305.39999999999998";"5280581, 5312529";"C03242, C16522";"HMDB0002925, HMDB0006735, HMDB0060039";"CHEBI:53460, CHEBI:53486, CHEBI:71589, CHEBI:77223";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"168";"1-palmitoylglycerophosphocholine";"17364-16-8";"Lipid";"Lysolipid";"33955";"LC/MS Pos";"5671";"496.4";"86554";NA;"HMDB0256091";NA;FALSE;NA
"169";"dihydrocholesterol";"80-97-7";"Lipid";"Sterol/Steroid";"21131";"GC/MS";"2320.8000000000002";"215.2";"6665";NA;"HMDB0000908";"CHEBI:86570";FALSE;NA
"170";"dimethylarginine (SDMA + ADMA)";NA;"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"36808";"LC/MS Pos";"812";"203.2";"123831, 169148";"C03626";"HMDB0001539, HMDB0003334";"CHEBI:17929, CHEBI:25682, CHEBI:58326";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"171";"dimethylglycine";"1118-68-9";"Amino acid";"Glycine, serine and threonine metabolism";"5086";"GC/MS";"1030";"57.9";"673, 6971056";"C01026";"HMDB0000092";"CHEBI:17724, CHEBI:58251";FALSE;NA
"172";"docosadienoate (22:2n6)";"7370-49-2";"Lipid";"Long chain fatty acid";"32415";"LC/MS Neg";"6017";"335.4";"5282807, 5312554";"C16533";"HMDB0061714, HMDB0062219";"CHEBI:145970, CHEBI:75117";TRUE;"completely_incompatible_manual_with_cas"
"173";"docosahexaenoate (DHA, 22:6n3)";"6217-54-5";"Lipid";"Essential fatty acid";"19323";"LC/MS Neg";"5518";"327.3";"24778483, 445580";"C06429";"HMDB0002183, HMDB0062579";"CHEBI:28125, CHEBI:77016";FALSE;NA
"174";"docosapentaenoate (n3 DPA 22:5n3)";"2234-74-4";"Lipid";"Essential fatty acid";"32504";"LC/MS Neg";"5574";"329.4";"5497182, 6438348, 6441454";"C16513";"HMDB0001976, HMDB0006528, HMDB0013123, HMDB0060113";"CHEBI:53488, CHEBI:65136, CHEBI:77224, CHEBI:77226";TRUE;"completely_incompatible_manual_with_cas"
"175";"docosapentaenoate (n6 DPA, 22:5n6)";"25182-74-5";"Lipid";"Essential fatty acid";"37478";"LC/MS Neg";"5625";"329.4";"24778483, 445580, 6438348, 6441454";"C06429";"HMDB0001976, HMDB0002183, HMDB0013123, HMDB0060113, HMDB0062579";"CHEBI:28125, CHEBI:65136, CHEBI:77016, CHEBI:77226";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"176";"docosatrienoate (22:3n3)";"59708-86-0";"Lipid";"Long chain fatty acid";"32417";"LC/MS Neg";"5825";"333.4";"5312556, 5312557";"C16534";"HMDB0002823";"CHEBI:77807, CHEBI:80549";FALSE;NA
"177";"dodecanedioate";"693-23-2";"Lipid";"Fatty acid, dicarboxylate";"32388";"LC/MS Neg";"2990";"229.2";"12736, 6991984";"C02678";"HMDB0000623";"CHEBI:4676, CHEBI:76273";FALSE;NA
"178";"eicosapentaenoate (EPA, 20:5n3)";"10-2005-9, 10417-94-4";"Lipid";"Essential fatty acid";"18467";"LC/MS Neg";"5442";"301.3";"24778482, 446284";"C06428";"HMDB0001999";"CHEBI:28364, CHEBI:58562";FALSE;NA
"179";"1-palmitoylglycerophosphoethanolamine";NA;"Lipid";"Lysolipid";"35631";"LC/MS Neg";"5940";"452.3";"9547069";NA;"HMDB0011503";"CHEBI:73004";FALSE;NA
"180";"eicosenoate (20:1n9 or 11)";NA;"Lipid";"Long chain fatty acid";"33587";"LC/MS Neg";"5955";"309.39999999999998";"5282768";"C16526";"HMDB0002231";"CHEBI:32425, CHEBI:32426";FALSE;NA
"181";"epinephrine";"51-43-4";"Amino acid";"Phenylalanine & tyrosine metabolism";"1578";"LC/MS Pos";"891";"184";"5816";"C00788";"HMDB0000068, HMDB0000615";"CHEBI:28918, CHEBI:71406";FALSE;NA
"182";"ergothioneine";"58511-63-0";"Xenobiotics";"Food component/Plant";"37459";"LC/MS Pos";"847";"230.2";"5351619";"C05570";"HMDB0003045";"CHEBI:134344, CHEBI:4828";FALSE;NA
"183";"erucate (22:1n9)";"112-86-7";"Lipid";"Long chain fatty acid";"1552";"GC/MS";"2134";"395.4";"5281116, 5282772, 8216";"C08316";"HMDB0002068, HMDB0249369";"CHEBI:28792, CHEBI:32393";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"184";"erythritol";"149-32-6";"Xenobiotics";"Sugar, sugar substitute, starch";"20699";"GC/MS";"1517.5";"217";"222285";"C00503";"HMDB0002994, HMDB0094689";"CHEBI:17113";FALSE;NA
"185";"erythronate*";"88759-55-1";"Carbohydrate";"Aminosugars metabolism";"33477";"GC/MS";"1546.9";"292.10000000000002";"2781043";NA;"HMDB0000613";"CHEBI:136591, CHEBI:37655";FALSE;NA
"186";"ethanolamine";"141-43-5";"Lipid";"Glycerolipid metabolism";"1497";"GC/MS";"1304";"174.1";"700";"C00189";"HMDB0000149, HMDB0060149, HMDB0062693";"CHEBI:16000, CHEBI:57603";FALSE;NA
"187";"flavin adenine dinucleotide (FAD)";"146-14-5, 84366-81-4";"Cofactors and vitamins";"Riboflavin metabolism";"2134";"LC/MS Neg";"2413";"784.1";"643975, 703";"C00016";"HMDB0001248, HMDB0252293";"CHEBI:16238";FALSE;NA
"188";"fructose";"57-48-7";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"577";"GC/MS";"1758";"217";"439709";"C00095, C02336";"HMDB0000660";"CHEBI:28645";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"189";"fructose 1-phosphate";"53823-70-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15907";"GC/MS";"1996.5";"445.2";"10400369, 25244216, 65246";"C01094";"HMDB0001076, HMDB0060467, HMDB0062538";"CHEBI:138881, CHEBI:139419, CHEBI:18105";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"190";"1-palmitoylglycerophosphoinositol*";NA;"Lipid";"Lysolipid";"35305";"LC/MS Neg";"5573";"571.29999999999995";NA;NA;NA;NA;FALSE;NA
"191";"fructose-6-phosphate";"103213-47-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"12021";"GC/MS";"1994.9";"315.1";"21604863, 440641";"C05345";"HMDB0003971";"CHEBI:16084, CHEBI:57634";TRUE;"completely_incompatible_manual_with_cas"
"192";"fucose";"2438-80-4";"Carbohydrate";"Aminosugars metabolism";"15821";"GC/MS";"1682.2";"204";"17106, 439554";"C01019";"HMDB0000174, HMDB0059624";"CHEBI:2181, CHEBI:42548";FALSE;NA
"193";"fumarate";"100-17-8";"Energy";"Krebs cycle";"1643";"GC/MS";"1382.1";"245";"444972, 5460307, 6183479";"C00122";"HMDB0000134";"CHEBI:18012, CHEBI:29806, CHEBI:37154";FALSE;NA
"194";"gabapentin";"60142-96-3";"Xenobiotics";"Drug";"38686";"LC/MS Pos";"2482";"172.2";"3446";NA;"HMDB0005015";"CHEBI:42797";FALSE;NA
"195";"galactose";"59-23-4";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"12055";"GC/MS";"1793.8";"203.9";"3037556";"C01582";NA;"CHEBI:17118";TRUE;"completely_incompatible_manual_with_cas"
"196";"gamma-aminobutyrate (GABA)";"56-12-2";"Amino acid";"Glutamate metabolism";"1416";"GC/MS";"1539.7";"304.10000000000002";"119, 5460232";"C00334";"HMDB0000112";"CHEBI:16865, CHEBI:30566, CHEBI:59888";FALSE;NA
"197";"gamma-glutamylcysteine";"636-58-8";"Peptide";"gamma-glutamyl";"1778";"LC/MS Pos";"1274";"251.1";"123938, 7059430, 842";"C00669";"HMDB0001049, HMDB0029146, HMDB0303807";"CHEBI:17515, CHEBI:58173";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"198";"gamma-glutamylglutamate";"1116-22-9";"Peptide";"gamma-glutamyl";"36738";"LC/MS Pos";"1036";"277.10000000000002";"92865";"C05282";"HMDB0011737, HMDB0029148";"CHEBI:73705";FALSE;NA
"199";"gamma-glutamylglutamine";"10148-81-9";"Peptide";"gamma-glutamyl";"2730";"LC/MS Pos";"806";"276.10000000000002";"150914";"C05283";"HMDB0011738";"CHEBI:73707";FALSE;NA
"200";"gamma-glutamylisoleucine*";NA;"Peptide";"gamma-glutamyl";"34456";"LC/MS Pos";"2644";"261.2";"22885096";NA;"HMDB0011170, HMDB0029152";"CHEBI:68434";FALSE;NA
"201";"1-palmitoylplasmenylethanolamine*";NA;"Lipid";"Lysolipid";"39270";"LC/MS Neg";"6153";"436.4";NA;NA;NA;NA;FALSE;NA
"202";"gamma-glutamylleucine";"2566-39-4";"Peptide";"gamma-glutamyl";"18369";"LC/MS Pos";"2744";"261.2";"151023";NA;"HMDB0011171, HMDB0029153";"CHEBI:68433";FALSE;NA
"203";"gamma-glutamylphenylalanine";"7432-24-8";"Peptide";"gamma-glutamyl";"33422";"LC/MS Pos";"2846";"295.10000000000002";"111299";NA;"HMDB0000594, HMDB0029562";"CHEBI:89582";FALSE;NA
"204";"gamma-glutamylvaline";"2746-34-1";"Peptide";"gamma-glutamyl";"32393";"LC/MS Pos";"2040";"247.2";"7015683";NA;"HMDB0011172, HMDB0029162";"CHEBI:68848";FALSE;NA
"205";"gamma-tocopherol";"54-28-4";"Cofactors and vitamins";"Tocopherol metabolism";"33420";"GC/MS";"2264";"488.4";"92729";"C02483";"HMDB0001492, HMDB0002634";"CHEBI:18185";FALSE;NA
"206";"glucarate (saccharate)";"5793-88-4";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"1476";"GC/MS";"1885.8";"333.1";"33037";"C00818";"HMDB0000663, HMDB0029881";"CHEBI:16002, CHEBI:30612";FALSE;NA
"207";"gluconate";"527-07-1";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"587";"GC/MS";"1879.4";"333";"10690";"C00257";"HMDB0000625, HMDB0003373";"CHEBI:18391, CHEBI:33198";FALSE;NA
"208";"glucose";"50-99-7";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"20488";"GC/MS";"1866.8";"217.1";"107526, 5793, 64689, 79025";"C00031, C00221, C00267";"HMDB0000122, HMDB0000516, HMDB0003340, HMDB0003345, HMDB0006564, HMDB0061922, HMDB0062170, HMDB0304632";"CHEBI:15903, CHEBI:17925, CHEBI:4167, CHEBI:42758";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"209";"glucose 1-phosphate";"56401-20-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15561";"GC/MS";"2017";"299.10000000000002";"439165, 65533";"C00103";"HMDB0001306, HMDB0001586";"CHEBI:16077, CHEBI:29042, CHEBI:58601";FALSE;NA
"210";"glucose-6-phosphate (G6P)";"103192-55-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"31260";"GC/MS";"2042.7";"387.2";"21604864, 23616120, 439284, 439958, 5958";"C00092, C00668";"HMDB0001401, HMDB0001549, HMDB0006793";"CHEBI:15954, CHEBI:17665, CHEBI:4170, CHEBI:57584, CHEBI:58225, CHEBI:61548";TRUE;"completely_incompatible_manual_with_cas"
"211";"glucuronate";"207300-70-7";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15443";"GC/MS";"1886.5";"217";"444791";"C00191";"HMDB0000127";"CHEBI:42717";FALSE;NA
"212";"1-pentadecanoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"37418";"LC/MS Pos";"5563";"482.3";NA;NA;NA;NA;FALSE;NA
"213";"glutamate";"56-86-0";"Amino acid";"Glutamate metabolism";"57";"LC/MS Pos";"700";"148.1";"14598502, 23327, 33032, 4179667, 5128032, 611";"C00025, C00217, C00302";"HMDB0000148, HMDB0003339, HMDB0060475";"CHEBI:14321, CHEBI:15966, CHEBI:16015, CHEBI:18237, CHEBI:29985, CHEBI:29986, CHEBI:29987";TRUE;"completely_incompatible_manual_with_cas"
"214";"glutamate, gamma-methyl ester";"1499-55-4";"Amino acid";"Glutamate metabolism";"33487";"LC/MS Pos";"1062";"162.1";"68662";NA;"HMDB0061715";NA;FALSE;NA
"215";"glutamine";"56-85-9";"Amino acid";"Glutamate metabolism";"53";"LC/MS Pos";"684";"147.19999999999999";"5961, 6992086";"C00064";"HMDB0000641";"CHEBI:18050, CHEBI:58359";FALSE;NA
"216";"glutarate (pentanedioate)";"110-94-1";"Amino acid";"Lysine metabolism";"396";"GC/MS";"1433.6";"261";"743";"C00489";"HMDB0000661";"CHEBI:17859, CHEBI:30921";FALSE;NA
"217";"glutaroyl carnitine";"102636-82-8";"Amino acid";"Lysine metabolism";"35439";"LC/MS Pos";"1565";"276.10000000000002";"53481622";NA;"HMDB0013130, HMDB0062587";"CHEBI:165628, CHEBI:82952";FALSE;NA
"218";"glutathione, oxidized (GSSG)";"103239-24-3";"Amino acid";"Glutathione metabolism";"27727";"LC/MS Pos";"1535";"613.1";"11215652, 11767258, 53477713, 65359";"C00127";"HMDB0000656, HMDB0003337";"CHEBI:143243, CHEBI:167606, CHEBI:17858";FALSE;NA
"219";"glutathione, reduced (GSH)";"70-18-8";"Amino acid";"Glutathione metabolism";"2127";"LC/MS Pos";"1274";"308.10000000000002";"124886, 448106";"C00051";"HMDB0000125, HMDB0001463, HMDB0006960";"CHEBI:16856, CHEBI:57925";FALSE;NA
"220";"glycerate";"600-19-1";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"1572";"GC/MS";"1360.7";"189";"10140, 439194, 5460316, 5460358";"C00258, C01921";"HMDB0000138, HMDB0000139, HMDB0031818, HMDB0032596";"CHEBI:16659, CHEBI:17687, CHEBI:29746, CHEBI:32398";FALSE;NA
"221";"glycerol";"56-81-5";"Lipid";"Glycerolipid metabolism";"15122";"GC/MS";"1311";"205";"753";"C00116";"HMDB0000131";"CHEBI:17754";FALSE;NA
"222";"glycerol 2-phosphate";"819-83-0";"Xenobiotics";"Chemical";"27728";"GC/MS";"1691.8";"243";"2526";"C02979";"HMDB0002520";"CHEBI:17270, CHEBI:58083";FALSE;NA
"223";"1,5-anhydroglucitol (1,5-AG)";"154-58-5";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"20675";"GC/MS";"1788.7";"217";"64960";"C07326";"HMDB0002712, HMDB0011726, HMDB0011736";"CHEBI:16070";FALSE;NA
"224";"1-stearoylglycerol (1-monostearin)";"123-94-4";"Lipid";"Monoacylglycerol";"21188";"GC/MS";"2186.6";"399.4";"24699";NA;NA;"CHEBI:75555";FALSE;NA
"225";"glycerol 3-phosphate (G3P)";"29849-82-9";"Lipid";"Glycerolipid metabolism";"15365";"GC/MS";"1719.7";"357.1";"439162, 7048686, 754";"C00093, C03189";"HMDB0000126, HMDB0002722, HMDB0252849";"CHEBI:14336, CHEBI:15978, CHEBI:231935, CHEBI:57597";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"226";"glycerophosphoethanolamine";"33049-08-0";"Lipid";"Glycerolipid metabolism";"37455";"GC/MS";"1906";"357.1";"123874";"C01233";"HMDB0000114";"CHEBI:52330";FALSE;NA
"227";"glycerophosphorylcholine (GPC)";"28319-77-9";"Lipid";"Glycerolipid metabolism";"15990";"LC/MS Pos";"694";"258.10000000000002";"657272";"C00670";"HMDB0000049, HMDB0000086";"CHEBI:16870";FALSE;NA
"228";"glycine";"56-40-6";"Amino acid";"Glycine, serine and threonine metabolism";"11777";"GC/MS";"1166";"101.9";"750";"C00037";"HMDB0000123";"CHEBI:15428, CHEBI:57305";FALSE;NA
"229";"glycocholenate sulfate*";NA;"Lipid";"Bile acid metabolism";"32599";"LC/MS Neg";"4763";"254.8";NA;NA;NA;NA;FALSE;NA
"230";"glycolate (hydroxyacetate)";"79-14-1";"Xenobiotics";"Chemical";"15737";"GC/MS";"1119";"177";"5460308, 757";"C00160, C03547";"HMDB0000115, HMDB0003035";"CHEBI:17497, CHEBI:29805";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"231";"glycolithocholate sulfate*";NA;"Lipid";"Bile acid metabolism";"32620";"LC/MS Neg";"5015";"512.29999999999995";"3623888, 443113, 72222";"C11301";"HMDB0002639, HMDB0062801";"CHEBI:9347";FALSE;NA
"232";"glycylglycine";"556-50-3";"Peptide";"Dipeptide";"21029";"GC/MS";"1757.9";"174";"11163";"C02037";"HMDB0011733";"CHEBI:17201, CHEBI:356445";FALSE;NA
"233";"glycylisoleucine";"19461-38-2";"Peptide";"Dipeptide";"36659";"LC/MS Pos";"2080";"189.1";NA;NA;NA;NA;FALSE;NA
"234";"glycylleucine";"869-19-2";"Peptide";"Dipeptide";"34398";"LC/MS Pos";"2236";"189.1";"92843";"C02155";"HMDB0000759";"CHEBI:143163, CHEBI:73514";FALSE;NA
