"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"43";"17";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316";NA;FALSE;NA;17;"HMDB";"HMDB0001316";"PUBCHEM";"91493";TRUE;"direct";3;TRUE
"44";"17";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316";NA;FALSE;NA;17;"KEGG";"C00345";"PUBCHEM";"91493";TRUE;"direct";3;TRUE
"45";"18";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458";NA;FALSE;NA;18;"HMDB";"HMDB0012458";"KEGG";"C17337";TRUE;"direct";3;TRUE
"46";"18";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458";NA;FALSE;NA;18;"HMDB";"HMDB0012458";"PUBCHEM";"3081085";TRUE;"direct";3;TRUE
"47";"18";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458";NA;FALSE;NA;18;"KEGG";"C17337";"PUBCHEM";"3081085";TRUE;"direct";3;TRUE
"48";"19";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496";NA;FALSE;NA;19;"HMDB";"HMDB0001496";"KEGG";"C03594";TRUE;"direct";3;TRUE
"49";"19";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496";NA;FALSE;NA;19;"HMDB";"HMDB0001496";"PUBCHEM";"107722";TRUE;"direct";3;TRUE
"50";"19";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496";NA;FALSE;NA;19;"KEGG";"C03594";"PUBCHEM";"107722";TRUE;"direct";3;TRUE
"51";"20";"7-beta-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";20;"HMDB";"HMDB0006119";"KEGG";"C03594";FALSE;"no_match";3;FALSE
"52";"20";"7-beta-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";20;"HMDB";"HMDB0006119";"PUBCHEM";"473141";TRUE;"direct";3;FALSE
"53";"20";"7-beta-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";20;"KEGG";"C03594";"PUBCHEM";"473141";FALSE;"no_match";3;FALSE
"54";"21";"Ac-Ser-Asp-Lys-Pro-OH";"127103-11-1";"Peptide";"Polypeptide";"40707";"LC/MS Pos";"1767";"488.2";"4409396";NA;NA;NA;FALSE;NA;21;NA;NA;NA;NA;NA;"no_match";1;TRUE
"55";"22";"C-glycosyltryptophan*";NA;"Amino acid";"Tryptophan metabolism";"32675";"LC/MS Pos";"1912";"367.1";NA;NA;NA;NA;FALSE;NA;22;NA;NA;NA;NA;NA;"no_match";0;TRUE
"56";"23";"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate";NA;"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"36984";"LC/MS Neg";"572";"339";NA;NA;NA;NA;FALSE;NA;23;NA;NA;NA;NA;NA;"no_match";0;TRUE
"57";"24";"1-linoleoylglycerophosphocholine";NA;"Lipid";"Lysolipid";"34419";"LC/MS Pos";"5574";"520.4";"5280646";"C04100";NA;NA;TRUE;"completely_incompatible_manual_no_cas";24;"KEGG";"C04100";"PUBCHEM";"5280646";FALSE;"no_match";2;FALSE
"58";"25";"Isobar: ribulose 5-phosphate, xylulose 5-phosphate";NA;"Carbohydrate";"Nucleotide sugars, pentose metabolism";"37288";"GC/MS";"1935";"357.2";NA;NA;NA;NA;FALSE;NA;25;NA;NA;NA;NA;NA;"no_match";0;TRUE
"59";"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";26;"HMDB";"HMDB0004159";"KEGG";"C05793";FALSE;"no_match";4;FALSE
"60";"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";26;"HMDB";"HMDB0004159";"PUBCHEM";"440785";TRUE;"direct";4;FALSE
"61";"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";26;"HMDB";"HMDB0004159";"PUBCHEM";"6433298";TRUE;"direct";4;FALSE
"62";"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";26;"KEGG";"C05793";"PUBCHEM";"440785";FALSE;"no_match";4;FALSE
"63";"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";26;"KEGG";"C05793";"PUBCHEM";"6433298";FALSE;"no_match";4;FALSE
"64";"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793";"HMDB04159";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";26;"PUBCHEM";"440785";"PUBCHEM";"6433298";TRUE;"secondary";4;FALSE
"65";"27";"N-6-trimethyllysine";"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";27;"HMDB";"HMDB0001325";"KEGG";"C03793";TRUE;"direct";3;FALSE
"66";"27";"N-6-trimethyllysine";"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";27;"HMDB";"HMDB0001325";"PUBCHEM";"159659";FALSE;"no_match";3;FALSE
"67";"27";"N-6-trimethyllysine";"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659";"C03793";"HMDB01325";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";27;"KEGG";"C03793";"PUBCHEM";"159659";FALSE;"no_match";3;FALSE
"68";"28";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067";NA;FALSE;NA;28;"HMDB";"HMDB0001067";"KEGG";"C12270";TRUE;"direct";3;TRUE
"69";"28";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067";NA;FALSE;NA;28;"HMDB";"HMDB0001067";"PUBCHEM";"5255";TRUE;"direct";3;TRUE
