PUBCHEM,PotentialAdditionalIDs,AllIDs
5793,"64689, 107526","64689, 5793, 107526"
5810,69248,"5810, 69248"
5816,NA,5816
586,NA,586
5862,"594, 92851","594, 92851, 5862"
588,26009888,"588, 26009888"
5892,"5893, 925","5892, 5893, 925"
5893,"5892, 925","5892, 5893, 925"
59,"40467846, 439278, 60038355","59, 40467846, 439278, 60038355"
5904,NA,5904
595,67678,"67678, 595"
5950,"71080, 602","71080, 602, 5950"
5951,"617, 71077","5951, 617, 71077"
59565831,"6262, 6992088, 71082, 389","6262, 6992088, 59565831, 71082, 389"
5958,"439958, 23616120","5958, 439958, 23616120"
5960,"15939608, 83887, 424, 4124657","5960, 15939608, 83887, 424, 4124657"
5961,"6992086, 145815, 738","5961, 6992086, 145815, 738"
5962,"641599, 57449, 866","5962, 641599, 57449, 866"
5997,5314029,"5997, 5314029"
60038355,"59, 40467846, 439278","59, 40467846, 439278, 60038355"
6013,10204,"6013, 10204"
6021,NA,6021
6029,NA,6029
6057,1153,"6057, 1153"
608,NA,608
60823,NA,60823
6083,15938965,"6083, 15938965"
60961,NA,60961
6106,"5255803, 857, 439524","6106, 5255803, 857, 439524"
611,"4179667, 5128032, 23327, 33032, 14598502","611, 4179667, 5128032, 23327, 33032, 14598502"
6131,7058165,"6131, 7058165"
6137,876,"6137, 876"
6140,994,"6140, 994"
616,"92042786, 165007","92042786, 616, 165007"
617,"5951, 71077","5951, 617, 71077"
6175,NA,6175
618,152306,"618, 152306"
6183479,"444972, 5460307","444972, 5460307, 6183479"
6209,NA,6209
6251,NA,6251
6262,"6992088, 59565831, 71082, 389","6262, 6992088, 59565831, 71082, 389"
6267,"236, 439600","6267, 236, 439600"
62698,"439586, 192826","439586, 192826, 62698"
6274,"86580368, 773","6274, 86580368, 773"
6287,1182,"6287, 1182"
6288,"99289, 205","6288, 99289, 205"
62936,NA,62936
6305,"9060, 1148","9060, 6305, 1148"
6306,99288,"6306, 99288"
6322,"1549073, 71070, 232","6322, 1549073, 71070, 232"
638024,NA,638024
638072,5280370,"638072, 5280370"
638308,"1005, 3674425","1005, 638308, 3674425"
641599,"5962, 57449, 866","5962, 641599, 57449, 866"
6426709,NA,6426709
6426851,NA,6426851
6426853,3246938,"3246938, 6426853"
6426854,NA,6426854
6426855,52922056,"52922056, 6426855"
6426901,NA,6426901
6433298,440785,"440785, 6433298"
643757,NA,643757
6438348,6441454,"6441454, 6438348"
643975,703,"643975, 703"
6439848,NA,6439848
643987,NA,643987
644102,"1023, 4097574, 4995","1023, 644102, 4097574, 4995"
6441454,6438348,"6441454, 6438348"
64689,"5793, 107526","64689, 5793, 107526"
649,NA,649
64947,NA,64947
64956,NA,64956
64959,NA,64959
64960,NA,64960
64969,92105,"92105, 64969"
65058,NA,65058
65065,2042020,"65065, 2042020"
6508,NA,6508
65127,"439198, 23421200","439198, 65127, 23421200"
65246,NA,65246
65249,NA,65249
65359,"53477713, 11215652, 11767258","53477713, 65359, 11215652, 11767258"
6539217,NA,6539217
65533,439165,"65533, 439165"
656476,NA,656476
657272,NA,657272
6602431,5460056,"6602431, 5460056"
6613,"988, 167945","6613, 988, 167945"
66535,NA,66535
6665,NA,6665
66789,NA,66789
670,NA,670
6723,NA,6723
673,6971056,"673, 6971056"
67427,NA,67427
676157,NA,676157
67678,595,"67678, 595"
6802,NA,6802
68310,NA,68310
6857401,"439286, 440877","439286, 440877, 6857401"
6857447,NA,6857447
68662,NA,68662
6912,NA,6912
69248,5810,"5810, 69248"
69698,NA,69698
6971015,"91552, 778","91552, 778, 6971015"
6971042,6971043,"6971043, 6971042"
6971043,6971042,"6971043, 6971042"
6971056,673,"673, 6971056"
6971058,"92135, 441, 3541112","92135, 6971058, 441, 3541112"
6971086,440854,"440854, 6971086"
6971254,111,"111, 6971254"
6991982,NA,6991982
6991984,12736,"12736, 6991984"
6992083,"188803, 5255","188803, 5255, 6992083"
6992086,"5961, 145815, 738","5961, 6992086, 145815, 738"
6992088,"6262, 59565831, 71082, 389","6262, 6992088, 59565831, 71082, 389"
6992563,NA,6992563
6992637,NA,6992637
6992643,NA,6992643
6992654,NA,6992654
6993038,NA,6993038
6993089,NA,6993089
6993119,NA,6993119
6998028,NA,6998028
70,3527278,"70, 3527278"
700,NA,700
700653,NA,700653
7009554,NA,7009554
7009559,NA,7009559
7009560,NA,7009560
7009561,NA,7009561
7009577,NA,7009577
7009608,NA,7009608
7009623,NA,7009623
7010505,NA,7010505
7010531,NA,7010531
7015683,NA,7015683
7015694,NA,7015694
7016044,NA,7016044
7016103,NA,7016103
7016114,NA,7016114
7018721,NA,7018721
7020158,NA,7020158
7020163,NA,7020163
7020164,NA,7020164
7020632,NA,7020632
7020641,NA,7020641
7020901,NA,7020901
7021456,NA,7021456
7021820,NA,7021820
7021827,NA,7021827
703,643975,"643975, 703"
7036275,NA,7036275
7045767,"1, 439756","1, 7045767, 439756"
7048686,439162,"439162, 7048686"
7058165,6131,"6131, 7058165"
70590,NA,70590
7059430,123938,"123938, 7059430"
70630,NA,70630
70678647,"5280733, 9862886, 5283153, 5283165","5280733, 9862886, 5283153, 5283165, 70678647"
70912,NA,70912
709625,NA,709625
71077,"5951, 617","71077, 5951, 617"
71082,"6262, 6992088, 59565831, 389","6262, 6992088, 59565831, 71082, 389"
72222,"443113, 3623888","72222, 443113, 3623888"
724,NA,724
725,NA,725
7359121,NA,7359121
736172,"1245, 23615482","736172, 1245, 23615482"
736715,NA,736715
7405,439685,"7405, 439685"
7408079,NA,7408079
7408103,NA,7408103
7408624,NA,7408624
743,NA,743
74413789,NA,74413789
74426,NA,74426
74839,NA,74839
750,NA,750
753,NA,753
754,NA,754
757,5460308,"757, 5460308"
75810,NA,75810
763,NA,763
764,NA,764
774,25201573,"774, 25201573"
778,"91552, 6971015","91552, 778, 6971015"
782,NA,782
790,NA,790
79025,NA,79025
79070,NA,79070
801,802,"802, 801"
802,801,"802, 801"
8158,NA,8158
81721,NA,81721
8216,NA,8216
828,NA,828
833,9750,"9750, 833"
83939,NA,83939
83944,NA,83944
83967,NA,83967
842,NA,842
849,439227,"849, 439227"
85,"10917, 288","10917, 288, 85"
85036846,9547099,"85036846, 9547099"
853180,"99823, 21933914","99823, 853180, 21933914"
85362,NA,85362
86554,NA,86554
86580368,"6274, 773","6274, 86580368, 773"
8697,NA,8697
870,"439639, 25147451","439639, 25147451, 870"
87071,NA,87071
875,NA,875
88064,NA,88064
8892,4398339,"8892, 4398339"
91486,46878428,"91486, 46878428"
91493,5459869,"91493, 5459869"
91528,NA,91528
91552,"778, 6971015","91552, 778, 6971015"
91637,464,"464, 91637"
91825606,22833583,"91825606, 22833583"
92042786,"616, 165007","92042786, 616, 165007"
92105,64969,"92105, 64969"
92135,"6971058, 441, 3541112","92135, 6971058, 441, 3541112"
92136,"469, 5460399","92136, 469, 5460399"
92181,NA,92181
92258,NA,92258
925,"5892, 5893","5892, 5893, 925"
92729,NA,92729
92829,NA,92829
92832,NA,92832
92836,NA,92836
92843,NA,92843
92865,NA,92865
92907,NA,92907
92919,135501639,"92919, 135501639"
92953,NA,92953
93078,NA,93078
936,NA,936
937,938,"938, 937"
9378,9548580,"9378, 9548580"
938,937,"938, 937"
94154,NA,94154
94244,NA,94244
9547068,NA,9547068
9547069,NA,9547069
9547070,NA,9547070
9547071,NA,9547071
9547099,85036846,"85036846, 9547099"
9548580,9378,"9378, 9548580"
96373,NA,96373
964,4186339,"964, 4186339"
96757,NA,96757
96814,NA,96814
9750,833,"9750, 833"
9797038,NA,9797038
9815009,NA,9815009
98207,NA,98207
9825434,"439234, 135398561","439234, 9825434, 135398561"
985,504166,"985, 504166"
98509,NA,98509
9862886,"5280733, 5283153, 5283165, 70678647","5280733, 9862886, 5283153, 5283165, 70678647"
988,"6613, 167945","6613, 988, 167945"
9900561,NA,9900561
9920423,NA,9920423
99289,"6288, 205","6288, 99289, 205"
9939941,NA,9939941
9948926,NA,9948926
99715,NA,99715
99823,"853180, 21933914","99823, 853180, 21933914"
