"Metabolite","Log2FC","p.adj","t.val","786-O_1","786-O_2","786-O_3","HK2_1","HK2_2","HK2_3","HMDB","KEGG.ID","KEGGCompound","Pathway"
"N-acetylaspartylglutamate",-5.7270968065714,2.62712074317051e-12,68314199.7182012,1352103.85033237,1267529.8878958,1323864.11205857,66586131.5551381,70708615.0314992,71591350.4182529,"HMDB0001067","C12270","N-Acetylaspartylglutamate","Alanine, aspartate and glutamate metabolism"
"N-acetylglutamate",-1.75433453004515,2.8343982283463e-07,87637050.2636073,32853998.8785748,39555552.5256228,38350197.2103717,113692991.069333,125423252.259456,134554656.076602,"HMDB0001138","C00624","N-Acetyl-L-glutamate","Amino acid metabolism"
"N-acetylglutamine",-2.17033789039666,3.06168701502685e-09,10137792.0187817,2654759.92388387,3122937.73218579,2908641.6581755,12373728.9029591,13474542.325723,13251444.1419083,"HMDB0006029",NA,NA,"Amino acid metabolism"
"N-acetylhexosamine phosphate",0.911714931457576,0.000118362410532979,-1621612.43535451,3828320.18560643,3350519.30265186,3206189.85054045,1982760.49388001,1792756.50797217,1744675.03088304,NA,NA,NA,"Not assigned"
"N-acetylhistidine",-0.856192286891329,0.147876567242804,6508057.88702687,8772203.77601969,6239799.92879142,9084352.72043881,11759960.3577237,12170531.041538,19690038.6870688,"HMDB0032055","C02997","N-Acetyl-L-histidine","Amino acid metabolism"
"N-acetylmethionine",-1.4397781619582,9.00896322020284e-06,33249682.2864256,17391120.1714437,19131999.6587505,21714586.0664658,48453786.2709323,51397524.143291,58135442.3417134,"HMDB0011745","C02712","N-Acetylmethionine","Amino acid metabolism"
"N-acetylneuramic acid",0.898433453656629,0.00634551618871914,-5853582.99003332,12590778.8218499,13934932.5366398,11359018.32832,5670631.96125079,7010638.57875509,7642710.17670377,"HMDB0000230","C19910","N-Acetyl-beta-neuraminate","Not assigned"
"N-acetylornithine",-0.560975934070664,0.000172915015812403,4993966.88124223,10689297.2660579,10489450.7119632,10344386.2760382,15951194.5141792,14801961.5916934,15751878.7919134,NA,NA,NA,"Amino acid metabolism"
"N-acetylserine",-0.763949839991478,2.63532713085102e-06,218250477.727221,299322178.218336,321140813.119507,317397001.644985,566201699.154413,524160845.619847,502248881.390231,"HMDB0002931",NA,NA,"Amino acid metabolism"
"N-carbamoylaspartate",-0.324714323484935,0.992747242991008,1873177.44234498,6297110.80064515,8453331.99341661,7512500.40846672,6458638.53176981,17592657.9836233,3831179.01417027,"HMDB0000828","C00438","N-Carbamoyl-L-aspartate","Pyrimidine metabolism"
"NAD",-0.0412425317722998,0.818270619857868,4976743.60927066,170234512.360366,172673160.018309,171933577.308298,178563109.111657,180711542.779211,170496828.623918,"HMDB0000902","C00003","NAD+","Oxidative phosphorylation"
"NADH",-2.17541161293287,0.0678142966380049,1234563.47485203,653240.218211124,242194.894603693,157603.401440847,2631484.08619683,1014651.85287904,1110592.99973587,"HMDB0001487","C00004","NADH","Oxidative phosphorylation"
"NADP",0.599417294649821,0.0835187660113526,-617412.01684301,2002233.31569847,1950276.75994135,1495571.24835108,1153277.54458063,1395012.63006567,1047555.09881556,"HMDB0304435","C00006","NADP+","Glutathione metabolism"
"NADPH",0.32924654607038,0.931329041370422,-374175.288416375,2776112.61844821,1076888.54714849,1648283.93125505,2108319.37127746,812000.819594743,1458439.04073042,"HMDB0000221","C00005","NADPH","Glutathione metabolism"
"ophthalmate",-1.65805142418151,2.57708850925909e-08,118640260.290987,60906732.4196054,54729621.0607249,49455165.2881607,174027560.620887,181840397.441828,165144341.578737,"HMDB0005765","C21016","Ophthalmate","Cysteine and methionine metabolism"
"ornithine",-1.78983297995262,3.54090993082146e-07,4041836.81112382,1717991.68523928,1412190.02311803,1803402.8054519,5279053.99808928,5976593.18843641,5803447.76065498,"HMDB0000214","C00077","L-Ornithine","Amino acid metabolism"
"orotate",-1.46783204770638,0.88859838460037,57652761.1228379,27583271.0596306,38011964.5864707,32339352.7054996,35894670.3533474,191346122.152501,43652079.2142665,"HMDB0000226","C00295","Orotate","Pyrimidine metabolism"
"orotidine",2.53329157502806,3.56747834626692e-05,-1033261982.18649,1158643581.25994,1366755007.4224,1221671675.56317,321761908.970766,192657635.969411,132864772.745861,"HMDB0000218","C01103","Orotidine 5'-phosphate","Pyrimidine metabolism"
"pantothenate",0.737088342684002,5.09131410516561e-05,-600024090.479575,1484522572.51803,1458278474.1467,1556805397.76242,784232784.11915,963576666.288597,951724722.580678,"HMDB0000210","C00864","Pantothenate","Vitamin digestion and absorption"
"pentose phosphates",0.0290950284269618,0.987395823138676,-140599.942763141,7389517.28147478,6768345.42245071,6968952.33416258,6149509.27539394,7199587.68362356,7355918.25078113,NA,NA,NA,"Not assigned"
"phenylalanine",-0.691973941167374,0.00028068588819663,126195304.917714,207934882.763526,196913670.357291,210245849.603759,324858634.331109,307224248.321337,361597434.825273,"HMDB0000159","C00079","L-Phenylalanine","Amino acid metabolism"
"phosphocreatine",-7.86915588646638,1.01757152703996e-08,415457045.435341,1729521.87035903,1858072.41286301,1766141.31842475,406842317.841616,454666369.413714,390216184.652341,"HMDB0001511","C02305","Phosphocreatine","Arginine and proline metabolism"
"phosphoenolpyruvate",0.235728889397305,0.784037355238235,-1280973.50696025,10001616.5543805,7313238.29072442,8178139.9961258,7641795.01012174,7345260.80298483,6663018.50724338,"HMDB0000263","C00074","Phosphoenolpyruvate","Citrate cycle (TCA cycle)"
"phosphoethanolamine",-6.53428505867116,1.48333959559821e-08,118390378.843375,1753911.92028569,1075202.42103019,1044647.8659601,125645043.512125,125093590.016247,108306265.209029,"HMDB0000224","C00346","Ethanolamine phosphate","Glycerophospholipid metabolism"
"phosphorylcholine",-0.998363101051764,5.51844925167355e-06,9297574057.16272,10156318279.8351,8717354757.99697,9082451861.57476,19791526160.8738,19083497903.4641,16973823006.5571,"HMDB0001565","C00588","Choline phosphate","Glycerophospholipid metabolism"
"proline",-0.873865463720273,1.10038813061486e-07,9105459124.96171,10260942442.6659,10946625204.266,11602281225.3844,19570723886.2776,20403301752.9795,20152200607.9444,"HMDB0000162","C00148","L-Proline","Amino acid metabolism"
"propionylcarnitine",0.208595598994652,0.193140901078128,-66471864.4679393,478123263.224036,492061584.631972,511128876.617327,495435267.481316,409676534.474793,376786329.113407,"HMDB0000824","C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"pyroglutamic acid",-0.0274431701701126,0.997033282402735,6029388.92924559,321779243.110619,306783018.152412,313322255.602755,274178849.321639,290280210.360081,395513623.971803,"HMDB0000267","C01879","Pyroglutamic acid","Glutathione metabolism"
"pyruvate",0.280292616664674,0.591156451380255,-3724908.07916826,21569486.4541685,16523672.2212524,25192471.819519,16538688.6508344,14243087.0513689,21329130.5552318,"HMDB0000243","C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"S-(2-succinyl)cysteine",-2.62907401706101,0.000289701180354651,478851.443620768,124905.176892418,90583.9304349463,61501.7403582461,689607.361750502,614458.742540395,409479.074257017,NA,NA,NA,"Not assigned"
"S-adenosylhomocysteine",-0.351657570948451,0.0137115119426412,2094750.78219701,7444580.15311481,7953145.80252236,7369170.84739842,10794289.901574,9673118.94480269,8583740.30324998,"HMDB0000939","C00021","S-Adenosyl-L-homocysteine","Cysteine and methionine metabolism"
"S-adenosylmethionine",0.828478013301474,0.0004959736255159,-35029022.325256,78841429.4755107,82473474.5336283,79226638.3556802,39390303.2067794,48631184.921538,47432987.2607339,"HMDB0001185","C00019","S-Adenosyl-L-methionine","Cysteine and methionine metabolism"
"S-lactoylglutathione",0.128773680732337,0.97777611895323,-86467.4719937076,1002166.93936554,1369711.26238913,665925.136655739,1216146.27562172,952835.97941547,609418.667392095,"HMDB0001066","C03451","(R)-S-Lactoylglutathione","Glutathione metabolism"
"sedoheptulose 7-phosphate",-1.04845982092799,0.00379915860196899,348660.503195312,288138.678390208,372331.156530285,318619.699983071,520206.080101769,708811.963128199,796053.001259531,"HMDB0258206","C05382","Sedoheptulose 7-phosphate","Pentose phosphate pathway"
"serine",-2.9401531735308,1.87133552098651e-07,42428750.0918064,6644884.11246087,5878051.29237629,6546372.10206779,52847766.3424182,50407160.7214459,43100630.7184602,"HMDB0000187","C00065","L-Serine","Amino acid metabolism"
"stearoylcarnitine C18",0.993582141846981,0.180295890116889,-943169.578251077,1572959.5522968,2573241.10328437,1538160.13655917,1850692.29660487,555442.352946167,448717.407836065,"HMDB0000848",NA,NA,"Fatty acyl carnitines"
"succinate",-0.580831382054825,0.0355211013109392,15601136.0191687,28220923.1946237,32997610.5985606,33198201.567275,39546102.127482,42678320.0194817,58995721.2710017,"HMDB0000254","C00042","Succinate","Citrate cycle (TCA cycle)"
"succinylglutathione",-1.79841338973872,5.24150738179241e-05,2495162.39577274,1257244.36990063,1074189.01386937,688887.519648148,3953230.15729052,3574104.7328476,2978473.20059823,NA,"C03174","S-Succinylglutathione","Glutathione metabolism"
"taurine",1.37737176045565,3.69273983646945e-06,-2889657192.62585,5051047366.07393,4701112772.00173,4341881175.46056,2084269089.43893,1693870940.92033,1646929705.29941,"HMDB0000251","C00245","Taurine","Not assigned"
"tetradecanoylcarnitine C14",-0.998212182959023,0.00980981710827855,978515.620111416,993166.79655906,1097256.42316795,852412.767690659,2529778.0172338,1826551.22263138,1522053.60788674,"HMDB0005066",NA,NA,"Not assigned"
"tetradecenoylcarnitine C14:1",0.0650870717622135,0.997292639989206,-55804.7399751926,1279776.15381822,1138878.63871406,1376521.01871584,818846.702663323,1417977.90889513,1390936.97976408,NA,NA,NA,"Fatty acyl carnitines"
"thiamine",-0.445750367207213,0.00469696069049918,23055193.4830052,53201728.4708599,64895560.1754775,72956060.0655079,86600447.8147961,82321788.8494458,91296692.4966191,"HMDB0000235","C00378","Thiamine","Vitamin digestion and absorption"
"threonine",-2.13755305950023,3.52004689785357e-06,497974170.615018,146777444.439514,147943803.015086,144648203.225264,735156746.139894,636300014.234823,561835202.150202,"HMDB0000167","C00188","L-Threonine","Amino acid metabolism"
"trans-4-hydroxyproline",-2.41772358725961,3.00768971495113e-06,103138438.765499,23853812.3974071,23991931.0966167,23394391.2750858,144520544.293094,126350663.820838,109784242.951675,"HMDB0000725","C01157","Hydroxyproline","Amino acid metabolism"
"trimethyllysine",0.180819633731574,0.400095032526124,-783997.912519565,7309190.05735477,6061925.01096573,6595155.82693668,6238519.88244668,5118803.3679242,6256953.90732761,"HMDB0001325","C03793","N6,N6,N6-Trimethyl-L-lysine","Amino acid metabolism"
"tryptophan",-0.606088863019262,4.87527484011041e-05,114884698.555013,220652966.998824,217657043.260455,221786110.941536,342974414.37916,316408141.50397,345367660.982724,"HMDB0000929","C00078","L-Tryptophan","Amino acid metabolism"
"tyrosine",-0.44458606872633,0.0143617521469791,36024236.6162094,86368757.3923314,104397863.455815,108667144.741162,141284064.779507,125795316.818651,140427093.839779,"HMDB0000158","C00082","L-Tyrosine","Amino acid metabolism"
"UDP",0.308905684657984,0.620754494720764,-6799805.57128186,42461576.8598442,32041995.697915,31332089.2503804,38604904.6624656,23658013.6509972,23173326.7808313,"HMDB0000295","C00015","UDP","Pyrimidine metabolism"
"UDP-GlcNac",-0.293961117419911,0.154989271924316,28039077.1648838,140404373.924836,112369185.034403,119423587.664334,176964503.27643,140445866.995246,138904007.846549,NA,NA,NA,"Not assigned"
"UDP-hexose",0.0829080906372873,0.908707251139245,-4850825.25140876,88445612.0840975,86095493.9105884,86034443.0728119,98757664.9852798,76499790.453277,70765617.8747148,NA,NA,NA,"Not assigned"
"UMP",0.760789552124995,0.0165171645694168,-2217853.23971975,5503086.17207401,5383140.63325817,5348828.12075715,4136091.0684995,2724295.54838547,2721108.59004511,"HMDB0000288","C00105","UMP","Pyrimidine metabolism"
"uric acid",0.161481753873712,0.598438467119035,-30625389.9040402,267768780.036818,273828768.854232,326028738.750633,234697723.489347,231711939.429347,309340455.010869,"HMDB0000289","C00366","Urate","Purine metabolism"
"uridine",0.43406424260527,0.587114835525718,-292971.636013632,1520229.98487905,1186662.66122667,675809.065078695,832756.58179341,656573.284867134,1014456.93648298,"HMDB0000296","C00299","Uridine","Pyrimidine metabolism"
"UTP",0.389078504136333,0.751122606734034,-21461265.9824475,127091210.056447,71996544.7665343,73283148.5205152,107080622.814059,48853010.3855978,52053472.1964976,"HMDB0000285","C00075","UTP","Pyrimidine metabolism"
"Val-Lys",-0.611507799413627,0.000346682678788568,13872787.4617956,30087389.6643223,25654830.8920208,23102061.3006462,42890269.1793885,38442608.9724405,39129766.0905472,"HMDB0029132",NA,NA,"Amino acid metabolism"
"valine",-0.362961050707082,0.0271983825717664,72681194.8205892,250730685.72224,245514255.355873,265977945.467144,313973606.799751,305676938.719992,360615925.487282,"HMDB0000883","C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"valine-d8",0.436476224337977,0.00886231628620193,-553222587.680417,1966679924.56033,2293488949.06394,2097183169.91658,1483137881.46562,1600737730.08293,1613808668.95106,NA,NA,NA,NA
"xanthine",-0.502379028188405,0.32047612159617,4192751.78432838,11658586.562404,7392297.17357097,11145561.8167091,12150459.9681654,11849147.5185103,18775093.4189935,"HMDB0000292","C00385","Xanthine","Purine metabolism"
