"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"237";"Insulin secretion";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00002, C00022, C00031, C00092, C00165, C00575, C01245, C01996";2;"C00031, C00092";25;NA;0;0
"238";"Insulin signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00031, C00369, C00575, C05981";1;"C00031";25;NA;0;0
"239";"Intestinal immune network for IgA production";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00777, C15493";0;NA;0;NA;0;0
"240";"Isoflavonoid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;64;"C00509, C00786, C00814, C00858, C01263, C01477, C01562, C01701, C02495, C02675, C02920, C03567, C04271, C05376, C06563, C07593, C09126, C09762, C10200, C10205, C10208, C10216, C10422, C10502, C10503, C10509, C10516, C10520, C10521, C10522, C10538, C12123, C12125, C12134, C12135, C12625, C12631, C14314, C14536, C15509, C15510, C15511, C15567, C16187, C16188, C16189, C16190, C16191, C16192, C16195, C16197, C16222, C16223, C16224, C16225, C16226, C16227, C16228, C16229, C16230, C16231, C16232, C16233, C19727";0;NA;0;NA;0;0
"241";"Isoquinoline alkaloid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;131;"C00082, C00355, C00483, C00757, C00811, C01179, C01516, C01735, C01795, C01852, C02105, C02106, C02134, C02890, C02915, C02916, C03329, C03758, C03765, C04043, C04118, C05174, C05175, C05176, C05177, C05178, C05179, C05189, C05190, C05191, C05193, C05194, C05202, C05220, C05243, C05247, C05315, C05316, C05322, C06160, C06161, C06162, C06163, C06165, C06167, C06171, C06172, C06173, C06174, C06175, C06327, C06511, C06512, C06516, C06517, C06518, C06520, C06533, C06546, C07304, C07307, C07547, C07592, C08521, C08526, C08527, C08532, C09248, C09328, C09330, C09337, C09390, C09421, C09464, C09541, C09581, C09592, C09593, C09654, C11250, C11813, C11814, C11815, C11816, C11817, C11818, C12162, C12173, C12180, C12193, C12231, C15530, C16700, C16701, C16702, C16703, C16704, C16705, C16706, C16707, C16708, C16709, C16710, C16712, C16713, C16714, C17591, C17592, C20297, C20299, C21405, C21406, C21566, C21583, C21584, C21586, C21587, C21588, C21589, C21590, C21591, C21599, C21600, C21630, C21631, C21633, C21634, C21635, C21637, C21639, C22694";2;"C00082, C06174";1,53;NA;0;0
"242";"Kaposi sarcoma-associated herpesvirus infection";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00165, C00350, C01245, C05981";0;NA;0;NA;0;0
"243";"Legionellosis";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00338, C01277";0;NA;0;NA;0;0
"244";"Leishmaniasis";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00195, C00219, C00584, C02737";2;"C00219, C00584";50;NA;0;0
"245";"Leukocyte transendothelial migration";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00575, C04637";0;NA;0;NA;0;0
"246";"Limonene degradation";NA;NA;NA;NA;NA;NA;NA;NA;47;"C00521, C00964, C01767, C02452, C02576, C06099, C07271, C07276, C11383, C11395, C11396, C11397, C11398, C11399, C11400, C11401, C11402, C11403, C11404, C11405, C11406, C11407, C11408, C11409, C11410, C11411, C11412, C11413, C11414, C11415, C11416, C11417, C11418, C11419, C11420, C11421, C11924, C11929, C11934, C11935, C11936, C11937, C19079, C19081, C19082, C19083, C19084";0;NA;0;NA;0;0
"247";"Linoleic acid metabolism";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;29;"C00157, C00219, C01595, C03242, C04056, C04717, C06426, C07289, C07338, C07354, C14762, C14765, C14766, C14767, C14825, C14826, C14827, C14828, C14829, C14831, C14832, C14833, C14834, C14835, C14836, C14837, C19937, C20186, C22918";3;"C00219, C01595, C03242";10,34;"C00219";1;3,45
"248";"Lipid and atherosclerosis";NA;NA;NA;NA;NA;NA;NA;NA;11;"C00187, C00338, C00422, C00865, C01245, C02530, C05981, C21011, C21012, C21013, C21014";1;"C00187";9,09;NA;0;0
"249";"Lipoarabinomannan (LAM) biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;2;"C01194, C04150";0;NA;0;NA;0;0
"250";"Lipoic acid metabolism";NA;NA;NA;NA;NA;NA;NA;NA;42;"C00022, C00024, C00026, C00037, C00068, C00091, C00101, C00141, C00143, C00233, C00322, C00527, C00630, C00671, C01242, C01944, C02051, C02147, C02939, C02972, C05125, C05381, C05752, C06157, C06423, C15972, C15973, C15974, C15975, C15976, C15977, C15978, C15979, C15980, C16238, C16241, C16254, C16255, C22159, C22160, C22161, C22667";4;"C00037, C00233, C00671, C06423";9,52;NA;0;0
"251";"Lipopolysaccharide biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;43;"C00043, C00229, C01187, C04088, C04121, C04652, C04738, C04824, C04919, C04932, C05223, C05761, C06022, C06024, C06025, C06026, C06251, C06398, C16157, C19877, C19884, C19890, C20933, C21157, C21173, C21461, C21463, C21982, C21983, C21984, C21988, C21991, C21992, C21993, C21994, C21995, C21996, C21997, C21998, C21999, C22002, C22003, C22068";0;NA;0;NA;0;0
"252";"Local analgesics";NA;NA;NA;NA;NA;NA;NA;NA;7;"C14166, C14167, C14168, C14170, C14171, C14172, C14173";0;NA;0;NA;0;0
"253";"Long-term depression";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00025, C00165, C00219, C00641, C00942, C01245";2;"C00025, C00219";33,33;NA;0;0
"254";"Long-term potentiation";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00025, C00165, C00305, C00575, C01245";1;"C00025";20;NA;0;0
"255";"Longevity regulating pathway";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00003, C00020, C00575, C03582, C05981, C07151, C07909";3;"C00003, C00020, C07151";42,86;NA;0;0
"256";"Longevity regulating pathway - multiple species";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00575, C05981";0;NA;0;NA;0;0
"257";"Longevity regulating pathway - worm";"1/37";"4/259";0,25;1,75;0,61596409368232;0,462325444045142;0,671321877654589;0,56665699702721;9;"C00003, C00153, C00712, C03150, C03582, C05981, C07909, C21076, C21077";4;"C00003, C00153, C00712, C03150";44,44;"C03150";1;11,11
"258";"Lysine biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;35;"C00024, C00026, C00047, C00049, C00263, C00322, C00441, C00449, C00666, C00680, C00956, C01251, C03082, C03871, C03972, C04002, C04076, C04390, C04421, C04462, C04877, C04882, C05535, C05539, C05560, C05662, C16138, C19886, C19887, C19888, C19889, C20258, C20277, C20278, C20279";5;"C00047, C00049, C00263, C00449, C00956";14,29;NA;0;0
"259";"Lysine degradation";"1/37";"12/259";0,0833333333333333;0,583333333333333;-0,602233808461449;0,849484959582249;0,874227239958431;0,737927660342271;56;"C00024, C00026, C00037, C00042, C00047, C00068, C00136, C00164, C00322, C00332, C00408, C00431, C00449, C00450, C00487, C00489, C00527, C00739, C00877, C00956, C00990, C01087, C01142, C01144, C01149, C01181, C01186, C01211, C01259, C01672, C02188, C02727, C03087, C03196, C03239, C03273, C03366, C03656, C03793, C04020, C04076, C04092, C04487, C05161, C05231, C05544, C05545, C05546, C05548, C05825, C06157, C12455, C15972, C15973, C16741, C22667";12;"C00037, C00042, C00047, C00408, C00431, C00449, C00489, C00956, C01087, C01181, C02727, C03793";21,43;"C02727";1;1,79
"260";"Lysosome";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00002, C00008, C00159, C00275";2;"C00159, C00275";50;NA;0;0
"261";"Malaria";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00634";0;NA;0;NA;0;0
"262";"Mannose type O-glycan biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00063, C00789, C01068, C02189";0;NA;0;NA;0;0
"263";"MAPK signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00165, C00338, C00575, C01245";0;NA;0;NA;0;0
"264";"Measles";NA;NA;NA;NA;NA;NA;NA;NA;1;"C05981";0;NA;0;NA;0;0
"265";"Meiosis - yeast";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00031, C00575";1;"C00031";50;NA;0;0
"266";"Melanogenesis";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00082, C00165, C00575, C01245, C05606";1;"C00082";20;NA;0;0
"267";"Melanoma";NA;NA;NA;NA;NA;NA;NA;NA;1;"C05981";0;NA;0;NA;0;0
