"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"189";"C01571";"KEGG";FALSE;"caprate (10:0)";FALSE;NA
"190";"C01582";"KEGG";FALSE;"galactose";TRUE;"completely_incompatible_manual_with_cas"
"191";"C01585";"KEGG";FALSE;"caproate (6:0)";FALSE;NA
"192";"C01585";"KEGG";FALSE;"hexanoylcarnitine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"193";"C01585";"KEGG";FALSE;"caproate (6:0)";FALSE;NA
"194";"C01585";"KEGG";FALSE;"hexanoylcarnitine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"195";"C01586";"KEGG";FALSE;"hippurate";FALSE;NA
"196";"C01595";"KEGG";FALSE;"linoleate (18:2n6)";FALSE;NA
"197";"C01601";"KEGG";FALSE;"pelargonate (9:0)";FALSE;NA
"198";"C01620";"KEGG";FALSE;"threonate";FALSE;NA
"199";"C01762";"KEGG";FALSE;"xanthosine";FALSE;NA
"200";"C01835, C00721, C00420";"C01835";FALSE;"maltotriose";FALSE;NA
"201";"C01835, C00721, C00420";"C00721";FALSE;"maltotriose";FALSE;NA
"202";"C01879";"KEGG";FALSE;"5-oxoproline";FALSE;NA
"203";"C01936";"KEGG";FALSE;"maltohexaose";FALSE;NA
"204";"C01991, C00989";"C00989";FALSE;"4-hydroxybutyrate (GHB)";FALSE;NA
"205";"C02037";"KEGG";FALSE;"glycylglycine";FALSE;NA
"206";"C02043";"KEGG";FALSE;"indolelactate";FALSE;NA
"207";"C02052, C00464";"C00464";FALSE;"maltotetraose";FALSE;NA
"208";"C02067";"KEGG";FALSE;"pseudouridine";FALSE;NA
"209";"C02155";"KEGG";FALSE;"glycylleucine";FALSE;NA
"210";"C02180";"KEGG";FALSE;"phenol sulfate";FALSE;NA
"211";"C02261";"KEGG";FALSE;"2-aminobutyrate";FALSE;NA
"212";"C02354";"KEGG";FALSE;"cytosine-2',3'-cyclic monophosphate";TRUE;"completely_incompatible_manual_with_cas"
"213";"C02477";"KEGG";FALSE;"alpha-tocopherol";FALSE;NA
"214";"C02483";"KEGG";FALSE;"gamma-tocopherol";FALSE;NA
"215";"C02494";"KEGG";FALSE;"N1-methyladenosine";FALSE;NA
