"Shapiro_p.val","786-M1A","786-M2A","786-O","HK2"
"  pantothenate ","0.65081242","0.07134232","0.49674134","0.11290711"
"  pentose phosphates ","0.8941795","0.5366581","0.6148543","0.2280874"
"  phenylalanine ","0.4411953","0.2368854","0.3111219","0.6177600"
"  phosphocreatine ","0.3332809","0.6562984","0.5349710","0.4795241"
"  phosphoenolpyruvate ","0.8110431","0.6767716","0.6122505","0.5727468"
"  phosphoethanolamine ","0.45684676","0.28616407","0.07278576","0.05344054"
"  phosphorylcholine ","0.4430742","0.8044783","0.4708489","0.4658665"
"  proline ","0.1616907","0.2049633","0.9753177","0.5698765"
"  propionylcarnitine ","0.005654365","0.652036462","0.829107925","0.519097223"
"  pyroglutamic acid ","0.5858725","0.1514872","0.8592451","0.2339088"
"  pyruvate ","0.3852736","0.7175519","0.8195572","0.6169967"
"  S  2 succinyl cysteine ","0.3900020","0.9382927","0.9089559","0.5006499"
"  S adenosylhomocysteine ","0.3299209","0.7483904","0.2272443","0.9841418"
"  S adenosylmethionine ","0.6716417","0.6000911","0.1846648","0.2282353"
"  sedoheptulose 7 phosphate ","0.9275448","0.5837334","0.6982892","0.6007291"
"  serine ","0.5545167","0.3345302","0.2260055","0.4640611"
"  S lactoylglutathione ","0.2956606","0.4667457","0.9509675","0.8546957"
"  stearoylcarnitine C18 ","0.34938962","0.08214842","0.05654123","0.13068695"
"  succinate ","0.25646566","0.17546846","0.06799995","0.28749702"
"  succinylglutathione ","0.6843078","0.3394437","0.6130110","0.7564149"
"  taurine ","0.04924548","0.78253155","0.98554469","0.18699628"
"  tetradecanoylcarnitine C14 ","0.8722339","0.8741510","0.8352908","0.5710685"
"  tetradecenoylcarnitine C14 1 ","0.81675980","0.22828345","0.79591262","0.07633316"
"  thiamine ","0.2499092","0.4486228","0.7979499","0.9487077"
"  threonine ","0.6485994","0.9047707","0.6808386","0.8451607"
"  trans 4 hydroxyproline ","0.3081737","0.6564843","0.4251079","0.9491123"
"  trimethyllysine ","0.43227072","0.62623379","0.84053048","0.02700566"
"  tryptophan ","0.2365331","0.4773116","0.5133616","0.1423147"
"  tyrosine ","0.45960948","0.87250965","0.34635200","0.09404038"
"  UDP ","0.11480666","0.63400189","0.10885890","0.05276511"
"  UDP GlcNac ","0.50713568","0.96396730","0.46657601","0.06836028"
"  UDP hexose ","0.59860049","0.58045989","0.04240898","0.37267957"
"  UMP ","0.491156535","0.558339334","0.407638721","0.003729462"
