"","Metabolite","Log2FC","p.adj","t.val","786-M2A_1","786-M2A_2","786-M2A_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"130","deoxycytidine",-0.0415683998775942,0.994933071227917,143901.796304477,5524310.12296503,4337341.01725185,4906530.02621972,5926461.67574685,4421589.61603872,4851835.26356446,"C00881","Deoxycytidine","Pyrimidine metabolism"
"131","deoxyribose 5-phosphate",2.06703979145322,7.4020725094881e-06,-2129464.6771213,2784563.5368452,3027240.99093039,2579057.60074463,762363.85868295,746415.677957237,493688.560516138,"C00673","2-Deoxy-D-ribose 5-phosphate","Pentose phosphate pathway"
"132","dihydroorotate",1.03055223166714,0.382610539705643,-28104473.3206479,19002041.1345514,86181027.4065992,59982798.1034084,19498095.4217913,47992609.3979694,13361741.8628546,"C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
"133","dihydroxyacetone phosphate",0.683196892832182,0.00912279901120128,-21991340.9878022,58031672.1013516,60500996.7210963,56364397.4265685,35820126.6556773,37531181.1624673,35571735.467465,"C00111","Glycerone phosphate","Glycolysis / Gluconeogenesis"
"134","dimethylarginine (ADMA+SDMA)",-0.0573597880786211,0.942897568084354,289087.291536713,7171179.86391341,7797871.98799114,6413283.81542155,7921406.98206038,6479044.75067921,7849145.80919666,NA,NA,"Not assigned"
"135","4-guanidinobutanoate",-1.04970235105478,0.000146446583357496,2228296.20417835,2625730.21224801,1982760.55504993,1638469.02597222,4423233.89377624,4138011.64540887,4370602.8666201,"C01035","4-Guanidinobutanoate","Arginine and proline metabolism"
"136","dTTP",-0.0706115740539945,0.989750133990645,168282.269195135,3570087.35361503,3245939.71101147,3248347.97041618,4491867.23827107,3006722.98316308,3070631.62119393,"C00459","dTTP","Pyrimidine metabolism"
"137","FAD",1.04249001814028,0.0487773413183084,-571421.723264235,1229532.30651566,887007.573303778,1215292.81974353,619368.649295219,379825.514953544,618373.365521503,"C00016","FAD","Vitamin digestion and absorption"
"138","fructose",0.997048567705962,0.000547524655318266,-5543052.44935424,11944587.5042316,11787342.8551871,9594632.83909943,5110794.83015724,4917383.18674382,6669227.83355435,"C02336","beta-D-Fructose","Not assigned"
"139","fructose 1,6-bisphosphate",0.253734336030645,0.0988918164715314,-3041372.1823452,17622925.3834953,21238166.9883409,17712968.5993958,14741710.9509691,16325586.8368725,16382646.6363548,NA,NA,"Not assigned"
"140","fructose 6-Phosphate",0.567976423404131,0.0184975478533759,-2258701.35896442,5839037.2337948,8310225.26430617,6672246.15183904,4427115.12013266,4918319.90299116,4699969.54992292,"C00085","D-Fructose 6-phosphate","Not assigned"
"141","fumarate",-0.0622644262285936,0.922585370257271,4786981.67100993,121654893.210223,94633168.4486696,109332733.632616,106688638.64196,114673475.090679,118619626.571899,"C00122","Fumarate","Citrate cycle (TCA cycle)"
"142","GDP",0.513706580096839,0.534818698422074,-2230169.39113494,8352436.28124178,6181839.76257743,7798728.71982331,7090862.85273094,4033054.57710528,4518579.16040149,"C00035","GDP","Purine metabolism"
"143","GDP-hexose",0.586145624166583,0.0123827626078395,-471696.759594221,1382029.44675292,1406926.70489152,1449366.01901317,868258.342233289,900908.838877181,1054064.71076448,NA,NA,"Purine metabolism"
"144","gluconate",-3.13985327635903,4.28716026013021e-08,2499939541.43747,279264778.092143,355015915.477035,325469502.922704,2988423370.30364,2934205046.7767,2536940403.72397,"C00257","D-Gluconic acid","Pentose phosphate pathway"
"145","glucose",0.65671426416956,0.366718627163031,-18081581.1137651,44314477.8311515,64832853.143367,39192580.9710831,18428948.5541541,22290424.109153,53375795.9409992,"C00267","alpha-D-Glucose","Glycolysis / Gluconeogenesis"
"146","4-hydroxyphenyllactate",-0.831708111521387,1.06858607851201e-07,1777943.3314216,2255773.91342265,2337265.29827655,2247034.18057146,3967062.8323282,3975925.60700376,4230914.9472035,"C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"147","glucose 1-phosphate",-0.414932667644656,0.0103668628212776,525242.478938615,1289020.72062927,1739020.23342999,1700515.68511736,2068160.23883197,2111041.14913865,2125082.68802184,"C00103","D-Glucose 1-phosphate","Glycolysis / Gluconeogenesis"
"148","glucose 6-phosphate",0.706258104967553,0.122540853040962,-5752436.61805314,10776045.0626023,20286189.7317845,13519672.1332398,7486302.00068973,9370456.53444306,10467838.5383343,"C00092","D-Glucose 6-phosphate","Glycolysis / Gluconeogenesis"
"149","glucuronic acid",-0.0536219206572934,0.981661171095415,281033.9078008,7510543.67174953,7449488.40999188,7304637.23031785,9171875.82834074,7828660.77756748,6107234.42955343,NA,NA,"Not assigned"
"150","glutamate",0.427081112516434,0.000168167558733612,-2589375858.17347,10141794339.383,10261750481.2433,9912881493.89456,6970769274.27483,7970037118.22842,7607492347.49718,"C00025","L-Glutamate","D-Amino acid metabolism"
"151","glutamine",-0.172900428755695,0.842849315003436,157920053.479026,1154841349.32938,1421048435.3564,1145053267.91684,999299124.522501,1425951057.23422,1769453031.28298,"C00064","L-Glutamine","D-Amino acid metabolism"
"152","glutamylcysteine",-1.41084737834858,0.000648728856649572,591831.875401876,440156.211721218,416275.772148278,213831.683960626,926776.520204568,984333.529245626,934649.244585557,"C00669","gamma-L-Glutamyl-L-cysteine","Glutathione metabolism"
"153","glutamylglutamate",0.439168822168215,0.0553157806814043,-919156.733387264,3782406.03305189,3649917.51533545,3074703.03616235,2340978.62493848,2766533.54915505,2642044.21029437,"C01425","Glutamyl-glutamic acid","D-Amino acid metabolism"
"154","glutamyllysine",0.149224129795357,0.868251124319474,-59701.5279761497,623331.380225627,596313.742144799,603029.191935737,498560.578224362,515879.166089757,629129.986063595,NA,NA,"D-Amino acid metabolism"
"155","glutamylthreonine",0.541817369441678,0.00308859829032904,-1608029.24700468,5633448.70235827,5123378.98082867,4650920.01152144,3079160.23193768,3892178.01463398,3612321.70712266,NA,NA,"Not assigned"
"156","glutathione",-0.728159808698551,0.00051264570505305,1131382441.69992,1855291257.76403,1805123356.08633,1509454501.83038,2994247345.45517,2852443369.96676,2717325725.35858,"C00051","Glutathione","Glutathione metabolism"
"157","5-aminolevulinic acid",-0.0788608169396093,0.894891477797142,241250.632559312,4113478.17498251,4101863.62882294,4666536.13042189,4032458.5809175,4377574.84820957,5195596.4027782,NA,NA,"Not assigned"
"158","glutathione oxidized",-1.22809156041629,1.30054358319365e-05,4268900.69679425,3255601.93981646,3383265.09986395,2900085.38550809,7707024.35690847,7346593.07016047,7292037.08850229,"C00127","Glutathione disulfide","Glutathione metabolism"
"159","glyceraldehyde 3-phosphate",-0.128491899455603,0.798185151235015,1547017.29809951,15456003.7707911,14569951.2337873,19797257.3165079,17872517.4749073,17644252.8347568,18947493.9057208,"C00118","D-Glyceraldehyde 3-phosphate","Glycolysis / Gluconeogenesis"
"160","glycerol 3-phosphate",-0.00222075209974781,0.999997172816412,33164.8060930185,17819240.9618821,25375498.0092326,21391333.4622738,19853046.8415808,22803441.5180322,22029078.4920545,"C00093","sn-Glycerol 3-phosphate","Glycerophospholipid metabolism"
"161","glycerophosphocholine",1.09787587148081,1.66862615743613e-05,-11248391371.5917,19418500050.995,20864197908.3249,23053299039.7867,8872009812.43211,9526000985.60846,11192812086.2908,"C00670","sn-Glycero-3-phosphocholine","Glycerophospholipid metabolism"
"162","glycerophosphoethanolamine",-0.276198990322115,0.00439581882938445,56320750.501627,263547839.31941,263878114.238665,273342611.793911,343765052.453317,308672354.588693,317293409.814856,"C01233","sn-Glycero-3-phosphoethanolamine","Glycerophospholipid metabolism"
"163","glycerophosphoinositol",-2.02900916954233,0.000241351487400676,67783815.2310244,32887907.9215509,17174182.4662655,15934438.1687001,106857206.159243,86521735.2086931,75969032.8816535,"C04549","1-Phosphatidyl-1D-myo-inositol 3-phosphate","Not assigned"
"164","glycine",-2.51116054545512,6.52711329429678e-10,19433138.9655337,3491226.77711296,4548548.33487805,4362285.2256651,24425374.7029941,23683340.087433,22592762.4438301,"C00037","Glycine","D-Amino acid metabolism"
"165","Gly-Gly",-0.940064791871266,2.76574270466901e-05,911745.917419972,933592.218487879,1003360.29359121,1040616.4717099,1736833.24909409,1858773.78244217,2117199.70451264,"C02037","N-Glycylglycine","D-Amino acid metabolism"
"166","GMP",0.349913867291618,0.751230479249458,-436848.012845593,2320557.16495743,1584059.91228796,2180491.17770107,2019523.6443796,1283078.00987929,1471962.56215078,"C00144","GMP","Purine metabolism"
"167","GTP",0.458849189629538,0.657467432117947,-2772986.48256699,11172487.313423,8822839.126954,10540404.9719946,10161229.4251964,5740703.60804866,6314838.93142564,"C00044","GTP","Purine metabolism"
"168","5-aminovaleric acid*",0.540452018472225,0.0287457815272185,-18803458.709727,64386793.0044792,63527606.597918,52630842.0705074,39938464.7309193,43488519.9636922,40707880.8491123,NA,NA,"Not assigned"
"169","guanosine",0.654819765899172,0.283290946368213,-387099.993056481,1036322.86012233,887868.805339126,1258802.36024005,646490.113286574,645480.997931275,729722.935314222,"C00387","Guanosine","Purine metabolism"
"170","hexanoylcarnitine C6",-0.679022209542183,0.00666070144204456,2135812.25036218,3608330.20545567,3934040.26842179,3117959.36094578,5008531.82357561,6798335.29130891,5260899.47102526,NA,NA,NA
"171","hexenoylcarnitine C6:1",0.214327107236362,0.587326294584232,-262256.990885484,1969009.68751022,1854786.19129687,1875299.30119901,1482713.19478163,1997025.73997556,1432585.27259244,NA,NA,"Not assigned"
"172","hexosamine phosphate",-1.37304073661438,7.4714409307286e-05,8581649.01304186,5156935.3945148,5989946.37531935,5043288.4431491,16287220.608644,13752819.4917167,11895077.1517481,NA,NA,"Not assigned"
"173","histidine",-0.694828192373837,8.40128776424809e-06,273894846.572439,443574787.883044,487897449.00249,396628010.137237,738278141.358323,693040196.318151,718466449.063614,"C00135","L-Histidine","D-Amino acid metabolism"
"174","homoarginine",0.0953444898834521,0.901836473410404,-111000.833729562,1644976.09672219,2062357.00075689,1499794.01291323,1596889.1483289,1436841.67077152,1840393.79010321,"C01924","L-Homoarginine","Arginine and proline metabolism"
"175","hypotaurine",0.6772526764139,0.00209385480665902,-512433.133314894,1453664.60448492,1266199.38628424,1383485.630104,1029308.20120616,808397.721554223,728344.29816809,"C00519","Hypotaurine","Not assigned"
"176","hypoxanthine",-0.598622376662434,0.893511049529405,1411512.64417159,3135981.50100719,2047025.61919925,3051069.73854743,2309552.63883576,2128032.55163634,8031029.60079656,"C00262","Hypoxanthine","Purine metabolism"
"177","IMP",0.253289196228946,0.887735094081624,-80575.0286210492,679165.266196155,523072.433475835,298987.305127232,489885.849906038,402732.739989898,366881.329040139,"C00130","IMP","Purine metabolism"
"178","indole",-0.492503375571344,0.000733058009348531,268856.872472036,634690.888604741,727580.445608138,620039.662328048,992245.641629554,848342.708635274,948293.263692209,"C00463","Indole","Not assigned"
