"","Metabolite","Log2FC","p.adj","t.val","786-O_1","786-O_2","786-O_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"130","deoxycytidine",-0.0693697503857486,0.9782126384137,237856.669429957,6081867.47630946,3934670.20121193,4469778.86953877,5926461.67574685,4421589.61603872,4851835.26356446,"C00881","Deoxycytidine","Pyrimidine metabolism"
"131","deoxyribose 5-phosphate",1.50093380794,0.0004345136803664,-1221678.06059553,2033845.45491452,1990879.81808555,1642777.00594284,762363.85868295,746415.677957237,493688.560516138,"C00673","2-Deoxy-D-ribose 5-phosphate","Pentose phosphate pathway"
"132","dihydroorotate",0.411028163936938,0.947305433694185,-8883879.92942087,28200235.5403706,49825699.7663107,29478151.1641965,19498095.4217913,47992609.3979694,13361741.8628546,"C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
"133","dihydroxyacetone phosphate",0.227989831762504,0.610008400957057,-6215944.948751,45637614.5340428,32285171.2755991,49648092.3222208,35820126.6556773,37531181.1624673,35571735.467465,"C00111","Glycerone phosphate","Glycolysis / Gluconeogenesis"
"134","dimethylarginine (ADMA+SDMA)",0.221880966653208,0.162632222640251,-1233021.82605619,9361784.54767834,8345688.12339717,8241190.3490293,7921406.98206038,6479044.75067921,7849145.80919666,NA,NA,"Not assigned"
"135","4-guanidinobutanoate",-1.00990969405753,0.00017712435206696,2170061.88348372,2393128.66188814,2331351.29647863,1697182.79698727,4423233.89377624,4138011.64540887,4370602.8666201,"C01035","4-Guanidinobutanoate","Arginine and proline metabolism"
"136","dTTP",-0.173691622657706,0.888036662894943,399618.105428392,4094593.79958395,2552606.96358135,2723166.76317761,4491867.23827107,3006722.98316308,3070631.62119393,"C00459","dTTP","Pyrimidine metabolism"
"137","FAD",0.887718098936357,0.119658818098219,-458444.133182538,1242625.62857594,713494.361245872,1036779.93949607,619368.649295219,379825.514953544,618373.365521503,"C00016","FAD","Vitamin digestion and absorption"
"138","fructose",0.514578125944007,0.0679512016449476,-2385370.99113788,7342968.85457175,7568557.03262822,8941992.93666907,5110794.83015724,4917383.18674382,6669227.83355435,"C02336","beta-D-Fructose","Not assigned"
"139","fructose 1,6-bisphosphate",-0.087242634982103,0.839108425104814,928118.724607781,15576115.0860585,13832788.8543753,15256684.3099392,14741710.9509691,16325586.8368725,16382646.6363548,NA,NA,"Not assigned"
"140","fructose 6-Phosphate",0.0733065139729762,0.972784838227964,-244040.258705589,4655156.94805398,5286417.76151279,4835950.63959673,4427115.12013266,4918319.90299116,4699969.54992292,"C00085","D-Fructose 6-phosphate","Not assigned"
"141","fumarate",-0.00196133441469898,0.9999968845745,153962.966719761,101951536.492193,118183700.659083,119384614.253103,106688638.64196,114673475.090679,118619626.571899,"C00122","Fumarate","Citrate cycle (TCA cycle)"
"142","GDP",0.223401382038225,0.944838050823716,-873283.407733725,9497311.68166646,4201906.39154187,4563128.74023054,7090862.85273094,4033054.57710528,4518579.16040149,"C00035","GDP","Purine metabolism"
"143","GDP-hexose",0.159020997148599,0.763472847178529,-109662.995845101,1146963.96656045,929331.920163297,1075924.99268651,868258.342233289,900908.838877181,1054064.71076448,NA,NA,"Purine metabolism"
"144","gluconate",-2.36101155603356,9.58660252292631e-08,2270958240.3421,461376457.379348,601287445.162282,584030197.23639,2988423370.30364,2934205046.7767,2536940403.72397,"C00257","D-Gluconic acid","Pentose phosphate pathway"
"145","glucose",0.243166428976837,0.943114540654358,-5758233.89490556,38070845.4160179,31947485.5612899,41351539.3117152,18428948.5541541,22290424.109153,53375795.9409992,"C00267","alpha-D-Glucose","Glycolysis / Gluconeogenesis"
"146","4-hydroxyphenyllactate",-0.947229023593709,4.7604164721271e-08,1953393.57049605,2002371.77217199,2115980.51892772,2195370.38394759,3967062.8323282,3975925.60700376,4230914.9472035,"C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"147","glucose 1-phosphate",-0.783774983280421,0.000380415873800777,880824.162484885,1146168.10315922,1226489.10475472,1289154.38062387,2068160.23883197,2111041.14913865,2125082.68802184,"C00103","D-Glucose 1-phosphate","Glycolysis / Gluconeogenesis"
"148","glucose 6-phosphate",0.188642145016604,0.938983724078665,-1272329.25612228,9772847.35310418,10904174.6364063,10464562.8523234,7486302.00068973,9370456.53444306,10467838.5383343,"C00092","D-Glucose 6-phosphate","Glycolysis / Gluconeogenesis"
"149","glucuronic acid",0.837830220081863,0.000208672209509264,-6064711.31384577,14826799.2144739,13649542.3232384,12825563.4392866,9171875.82834074,7828660.77756748,6107234.42955343,NA,NA,"Not assigned"
"150","glutamate",0.301047091700098,0.00248098893953097,-1744022881.54764,8987097659.03108,9522892522.63293,9270377202.97934,6970769274.27483,7970037118.22842,7607492347.49718,"C00025","L-Glutamate","D-Amino acid metabolism"
"151","glutamine",-0.687807079927894,0.0935271477935549,530215024.239195,969613258.984497,666448104.02465,967996777.312964,999299124.522501,1425951057.23422,1769453031.28298,"C00064","L-Glutamine","D-Amino acid metabolism"
"152","glutamylcysteine",-0.410832311038845,0.103352577389941,235069.86762799,872607.664609774,630532.210789052,637409.815752954,926776.520204568,984333.529245626,934649.244585557,"C00669","gamma-L-Glutamyl-L-cysteine","Glutathione metabolism"
"153","glutamylglutamate",0.44334560836007,0.0526845693179697,-929311.152921889,3835051.2449121,3729639.73851182,2972798.85972964,2340978.62493848,2766533.54915505,2642044.21029437,"C01425","Glutamyl-glutamic acid","D-Amino acid metabolism"
"154","glutamyllysine",-0.525378977949219,0.219581773663641,167218.659776087,557854.86484665,355296.661218236,228762.224984567,498560.578224362,515879.166089757,629129.986063595,NA,NA,"D-Amino acid metabolism"
"155","glutamylthreonine",0.248750990048227,0.201865792848134,-663870.679602058,4332525.11403802,4174748.96595333,4067997.91250916,3079160.23193768,3892178.01463398,3612321.70712266,NA,NA,"Not assigned"
"156","glutathione",-0.326750596116631,0.0294748628046312,578555541.947891,2511532168.38759,2358007085.25682,1958810561.29243,2994247345.45517,2852443369.96676,2717325725.35858,"C00051","Glutathione","Glutathione metabolism"
"157","5-aminolevulinic acid",-0.299854560898821,0.141332254701621,851103.420352934,3276688.74833991,3649272.647669,4126358.17483756,4032458.5809175,4377574.84820957,5195596.4027782,NA,NA,"Not assigned"
"158","glutathione oxidized",-0.676650933871603,0.000295394144969707,2788619.31011882,5467646.83570221,4611654.03444841,3900495.71506415,7707024.35690847,7346593.07016047,7292037.08850229,"C00127","Glutathione disulfide","Glutathione metabolism"
"159","glyceraldehyde 3-phosphate",0.415029820557166,0.0296391860664472,-6051456.07530109,22587628.1726021,24199797.9370044,25831206.3316816,17872517.4749073,17644252.8347568,18947493.9057208,"C00118","D-Glyceraldehyde 3-phosphate","Glycolysis / Gluconeogenesis"
"160","glycerol 3-phosphate",-1.5604831170114,0.000153850425096747,14251577.3692272,7044567.3868506,6834878.53934616,8051388.8177892,19853046.8415808,22803441.5180322,22029078.4920545,"C00093","sn-Glycerol 3-phosphate","Glycerophospholipid metabolism"
"161","glycerophosphocholine",-0.795504036934148,0.0132540756893591,4180770476.35422,6367087356.28264,5069352845.53164,5612071253.45438,8872009812.43211,9526000985.60846,11192812086.2908,"C00670","sn-Glycero-3-phosphocholine","Glycerophospholipid metabolism"
"162","glycerophosphoethanolamine",-1.60969336939104,2.09382913785028e-07,217327024.325233,122449777.296781,100442150.605695,94857815.978693,343765052.453317,308672354.588693,317293409.814856,"C01233","sn-Glycero-3-phosphoethanolamine","Glycerophospholipid metabolism"
"163","glycerophosphoinositol",-1.71231454879235,0.000432432012342332,62383676.6750509,20885838.4687994,33736032.2329416,27575073.5226959,106857206.159243,86521735.2086931,75969032.8816535,"C04549","1-Phosphatidyl-1D-myo-inositol 3-phosphate","Not assigned"
"164","glycine",-3.18074643278043,2.72019629043996e-10,20968153.8779976,2593177.04414024,2511996.52099248,2691842.03513157,24425374.7029941,23683340.087433,22592762.4438301,"C00037","Glycine","D-Amino acid metabolism"
"165","Gly-Gly",-0.962283988748411,2.44464828593749e-05,926914.82709207,948755.985786675,932788.682046712,1050517.5869393,1736833.24909409,1858773.78244217,2117199.70451264,"C02037","N-Glycylglycine","D-Amino acid metabolism"
"166","GMP",0.0810799174215008,0.996371278428269,-92005.1503736665,2639549.40168138,1128683.13610722,1282347.12974207,2019523.6443796,1283078.00987929,1471962.56215078,"C00144","GMP","Purine metabolism"
"167","GTP",0.162183258011736,0.980994196087454,-881111.47449939,13530131.6110594,5457629.87195344,5872344.90515606,10161229.4251964,5740703.60804866,6314838.93142564,"C00044","GTP","Purine metabolism"
"168","5-aminovaleric acid*",0.763932047194521,0.00246943498140895,-28886700.7596959,75159360.7106926,74613420.4390036,61022186.6731152,39938464.7309193,43488519.9636922,40707880.8491123,NA,NA,"Not assigned"
"169","guanosine",0.0951954307851916,0.995302933950933,-45966.6513257397,1123269.64066246,692715.540835926,343608.819010909,646490.113286574,645480.997931275,729722.935314222,"C00387","Guanosine","Purine metabolism"
"170","hexanoylcarnitine C6",-0.206051111996538,0.397617757716795,757200.939025402,5187376.17511439,4799937.40477495,4808850.18894424,5008531.82357561,6798335.29130891,5260899.47102526,NA,NA,NA
"171","hexenoylcarnitine C6:1",0.21243643905951,0.594187540028082,-259769.045240259,2138435.27792594,1860342.49259782,1692853.57254665,1482713.19478163,1997025.73997556,1432585.27259244,NA,NA,"Not assigned"
"172","hexosamine phosphate",-1.36090396872298,7.76864948636158e-05,8536057.21568732,5449083.81248728,5384866.84305987,5492994.94949972,16287220.608644,13752819.4917167,11895077.1517481,NA,NA,"Not assigned"
"173","histidine",-0.776077595253239,4.43014279849496e-06,298137680.154931,417525602.714405,422297439.859429,415548703.70146,738278141.358323,693040196.318151,718466449.063614,"C00135","L-Histidine","D-Amino acid metabolism"
"174","homoarginine",0.341800619885662,0.107340696950887,-434345.208612904,1906626.62545656,2120124.75421813,2150408.85536765,1596889.1483289,1436841.67077152,1840393.79010321,"C01924","L-Homoarginine","Arginine and proline metabolism"
"175","hypotaurine",1.18912906417577,9.33341256270648e-06,-1094976.84121298,2088322.19035632,1901294.74522449,1861363.80898662,1029308.20120616,808397.721554223,728344.29816809,"C00519","Hypotaurine","Not assigned"
"176","hypoxanthine",0.20025631417759,0.989118808773798,-618869.116955007,6704856.64996623,5798357.59026066,1822007.90190678,2309552.63883576,2128032.55163634,8031029.60079656,"C00262","Hypoxanthine","Purine metabolism"
"177","IMP",0.676998775426477,0.193067236282519,-251400.509621946,531002.813199981,805722.102457396,676976.532144535,489885.849906038,402732.739989898,366881.329040139,"C00130","IMP","Purine metabolism"
"178","indole",-0.940198417274431,1.93456215459298e-05,445141.576095191,507516.753829807,449147.92522786,496792.206613795,992245.641629554,848342.708635274,948293.263692209,"C00463","Indole","Not assigned"
