"","Metabolite","Log2FC","p.adj","t.val","786-M1A_1","786-M1A_2","786-M1A_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"130","deoxycytidine",-0.119221594047988,0.908432991947241,401863.357226013,4557884.86667795,4744974.48189918,4691437.13509486,5926461.67574685,4421589.61603872,4851835.26356446,"C00881","Deoxycytidine","Pyrimidine metabolism"
"131","deoxyribose 5-phosphate",1.76596804683347,6.20881987457578e-05,-1602656.19313245,2246475.1883101,2515731.53472023,2048229.95352336,762363.85868295,746415.677957237,493688.560516138,"C00673","2-Deoxy-D-ribose 5-phosphate","Pentose phosphate pathway"
"132","dihydroorotate",-0.45256031739935,0.969897861126978,7256645.60029234,17745723.9650608,20635150.1111365,20701635.8055409,19498095.4217913,47992609.3979694,13361741.8628546,"C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
"133","dihydroxyacetone phosphate",0.38126294226966,0.195737637745432,-10982403.8441367,38754246.3519273,53363743.9899308,49752264.4761615,35820126.6556773,37531181.1624673,35571735.467465,"C00111","Glycerone phosphate","Glycolysis / Gluconeogenesis"
"134","dimethylarginine (ADMA+SDMA)",0.0880952714833503,0.808029669540574,-466988.402012224,7803558.34096225,7598590.86641101,8248413.54059965,7921406.98206038,6479044.75067921,7849145.80919666,NA,NA,"Not assigned"
"135","4-guanidinobutanoate",-1.15415517839353,9.26233245414076e-05,2373730.30554007,1921602.14419807,1886961.47434732,2002093.87063962,4423233.89377624,4138011.64540887,4370602.8666201,"C01035","4-Guanidinobutanoate","Arginine and proline metabolism"
"136","dTTP",-0.343592992825347,0.566842261570576,746623.27679758,3128722.92798384,2033259.68942968,3167369.39482182,4491867.23827107,3006722.98316308,3070631.62119393,"C00459","dTTP","Pyrimidine metabolism"
"137","FAD",0.42112400851641,0.737808801604233,-182769.141086412,625856.826980444,537007.099473766,1003011.02657529,619368.649295219,379825.514953544,618373.365521503,"C00016","FAD","Vitamin digestion and absorption"
"138","fructose",0.794222702767429,0.00403254815513465,-4086093.42070289,10381151.3210973,9476114.9981981,9098419.79326871,5110794.83015724,4917383.18674382,6669227.83355435,"C02336","beta-D-Fructose","Not assigned"
"139","fructose 1,6-bisphosphate",0.116017424964262,0.652540188034172,-1324471.18818291,18160604.7240018,15766823.1851701,17495930.0795732,14741710.9509691,16325586.8368725,16382646.6363548,NA,NA,"Not assigned"
"140","fructose 6-Phosphate",0.04763345512996,0.992338293244949,-157159.203799809,4509488.05747988,4601520.70527297,5405873.42169331,4427115.12013266,4918319.90299116,4699969.54992292,"C00085","D-Fructose 6-phosphate","Not assigned"
"141","fumarate",0.053063816181866,0.943815440064499,-4245899.00149503,117572731.582081,124063076.880633,111083628.84631,106688638.64196,114673475.090679,118619626.571899,"C00122","Fumarate","Citrate cycle (TCA cycle)"
"142","GDP",0.0710321319795294,0.998272142530604,-263148.192980422,6348672.16909297,3624451.75439818,6458817.24568781,7090862.85273094,4033054.57710528,4518579.16040149,"C00035","GDP","Purine metabolism"
"143","GDP-hexose",0.409592970689348,0.0925426199673153,-308966.031584603,1368853.64215,988275.615508905,1393000.72896985,868258.342233289,900908.838877181,1054064.71076448,NA,NA,"Purine metabolism"
"144","gluconate",-2.77947157483193,5.7281189458358e-08,2409158208.27253,374635611.362742,421015221.71931,436443362.904674,2988423370.30364,2934205046.7767,2536940403.72397,"C00257","D-Gluconic acid","Pentose phosphate pathway"
"145","glucose",0.568506661134724,0.50352880446942,-15148937.2933978,55621490.7213836,38188717.8299277,45731771.9331883,18428948.5541541,22290424.109153,53375795.9409992,"C00267","alpha-D-Glucose","Glycolysis / Gluconeogenesis"
"146","4-hydroxyphenyllactate",-0.916170232796075,5.7545098131051e-08,1907594.41686775,2202889.20777507,2040746.48877741,2207484.43937974,3967062.8323282,3975925.60700376,4230914.9472035,"C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"147","glucose 1-phosphate",-0.645286210347429,0.00106409893162318,757846.527145518,1186289.57753302,1440258.98839546,1404195.92862741,2068160.23883197,2111041.14913865,2125082.68802184,"C00103","D-Glucose 1-phosphate","Glycolysis / Gluconeogenesis"
"148","glucose 6-phosphate",-0.0840525574362065,0.995363643230344,515488.706489868,7976012.18818352,7083742.28220511,10718376.4836088,7486302.00068973,9370456.53444306,10467838.5383343,"C00092","D-Glucose 6-phosphate","Glycolysis / Gluconeogenesis"
"149","glucuronic acid",0.335183404755164,0.109930889834703,-2014518.32909689,10051736.1816251,9419804.97163368,9679784.86949349,9171875.82834074,7828660.77756748,6107234.42955343,NA,NA,"Not assigned"
"150","glutamate",0.424847059193135,0.000175630332272969,-2573739358.80789,9864160240.51334,10650429195.8405,9754927380.07029,6970769274.27483,7970037118.22842,7607492347.49718,"C00025","L-Glutamate","D-Amino acid metabolism"
"151","glutamine",-0.167274781464103,0.854233500911437,153074127.800869,1397681862.99946,1187398679.56262,1150400287.07501,999299124.522501,1425951057.23422,1769453031.28298,"C00064","L-Glutamine","D-Amino acid metabolism"
"152","glutamylcysteine",-0.960697276265632,0.00333031919830273,461194.639159856,605368.414336541,433529.49680979,423277.465409852,926776.520204568,984333.529245626,934649.244585557,"C00669","gamma-L-Glutamyl-L-cysteine","Glutathione metabolism"
"153","glutamylglutamate",0.369219268722701,0.122587461043971,-753395.463312419,3481244.37003316,3565693.63601636,2962804.76827564,2340978.62493848,2766533.54915505,2642044.21029437,"C01425","Glutamyl-glutamic acid","D-Amino acid metabolism"
"154","glutamyllysine",-0.0600628282094216,0.991215224171012,22340.3064486021,564891.364762946,454147.340756842,557510.105512119,498560.578224362,515879.166089757,629129.986063595,NA,NA,"D-Amino acid metabolism"
"155","glutamylthreonine",0.402122514280896,0.0229253544878203,-1134041.34796334,4800493.00464566,4909694.05334937,4275596.9395893,3079160.23193768,3892178.01463398,3612321.70712266,NA,NA,"Not assigned"
"156","glutathione",-0.625207553635669,0.00115363106823696,1003912548.16489,1986828446.85875,1867750274.21248,1697700075.21459,2994247345.45517,2852443369.96676,2717325725.35858,"C00051","Glutathione","Glutathione metabolism"
"157","5-aminolevulinic acid",-0.177727148784922,0.468904168134552,525654.77571169,3778382.6825119,3942238.02818249,4308044.79407581,4032458.5809175,4377574.84820957,5195596.4027782,NA,NA,"Not assigned"
"158","glutathione oxidized",-1.07512487438904,2.50026626812394e-05,3913245.67956085,3818126.45947538,3546046.76572856,3241744.25168473,7707024.35690847,7346593.07016047,7292037.08850229,"C00127","Glutathione disulfide","Glutathione metabolism"
"159","glyceraldehyde 3-phosphate",0.0518499747683821,0.97806663212226,-664342.396138333,17292317.2346578,17464897.036243,21700077.1328991,17872517.4749073,17644252.8347568,18947493.9057208,"C00118","D-Glyceraldehyde 3-phosphate","Glycolysis / Gluconeogenesis"
"160","glycerol 3-phosphate",-0.526574361681504,0.0205962748924285,6593590.87886057,14150644.8337173,15038976.4652069,15715172.9161616,19853046.8415808,22803441.5180322,22029078.4920545,"C00093","sn-Glycerol 3-phosphate","Glycerophospholipid metabolism"
"161","glycerophosphocholine",0.157820576390764,0.678490925832764,-1140238662.44524,9977429320.23388,11692371450.3307,11341738101.1024,8872009812.43211,9526000985.60846,11192812086.2908,"C00670","sn-Glycero-3-phosphocholine","Glycerophospholipid metabolism"
"162","glycerophosphoethanolamine",-0.893225927044152,4.49169376637304e-06,149206382.381408,161736206.783744,187743492.450228,172631970.478672,343765052.453317,308672354.588693,317293409.814856,"C01233","sn-Glycero-3-phosphoethanolamine","Glycerophospholipid metabolism"
"163","glycerophosphoinositol",-1.51548954541841,0.000683009295898485,58378681.3022326,32411978.8981847,39587680.5661843,22212270.8785228,106857206.159243,86521735.2086931,75969032.8816535,"C04549","1-Phosphatidyl-1D-myo-inositol 3-phosphate","Not assigned"
"164","glycine",-2.75709450290058,4.54814297334849e-10,20081065.1287783,3497115.14979594,3531572.417506,3429594.28062032,24425374.7029941,23683340.087433,22592762.4438301,"C00037","Glycine","D-Amino acid metabolism"
"165","Gly-Gly",-0.836095993141471,5.19526251421265e-05,837578.714169506,1042069.60418784,1089073.44962751,1068927.53972503,1736833.24909409,1858773.78244217,2117199.70451264,"C02037","N-Glycylglycine","D-Amino acid metabolism"
"166","GMP",-0.00934909352618927,0.999994821839142,10280.1873782782,1836658.09480477,1146464.55853482,1760601.00093525,2019523.6443796,1283078.00987929,1471962.56215078,"C00144","GMP","Purine metabolism"
"167","GTP",0.0147368019162064,0.999986897994446,-76034.0996364448,8647858.64685641,4786657.39136474,9010358.22535891,10161229.4251964,5740703.60804866,6314838.93142564,"C00044","GTP","Purine metabolism"
"168","5-aminovaleric acid*",0.629750656569911,0.0107009625522866,-22646235.8598865,69317813.6729395,67050411.6824308,55705347.7680128,39938464.7309193,43488519.9636922,40707880.8491123,NA,NA,"Not assigned"
"169","guanosine",0.161594218309343,0.976658788615162,-79872.0465205277,724231.510698214,551205.789027233,985872.886368209,646490.113286574,645480.997931275,729722.935314222,"C00387","Guanosine","Purine metabolism"
"170","hexanoylcarnitine C6",-0.636617080708387,0.00896192372238924,2029815.76213044,3733896.31205555,3897885.9055969,3346537.081866,5008531.82357561,6798335.29130891,5260899.47102526,NA,NA,NA
"171","hexenoylcarnitine C6:1",0.166220299413993,0.758229540559075,-199955.852768646,2011545.78047262,2013374.84393119,1487271.14125176,1482713.19478163,1997025.73997556,1432585.27259244,NA,NA,"Not assigned"
"172","hexosamine phosphate",-1.41377530189951,6.57809092415862e-05,8731894.68485508,4848486.45259183,5428088.92960444,5462857.81534727,16287220.608644,13752819.4917167,11895077.1517481,NA,NA,"Not assigned"
"173","histidine",-0.634005865081989,1.44757160710496e-05,254832123.792667,483160906.058269,445988256.425784,456139252.878033,738278141.358323,693040196.318151,718466449.063614,"C00135","L-Histidine","D-Amino acid metabolism"
"174","homoarginine",0.396349695553224,0.0540640637300509,-513689.702286207,2014446.09289924,2136213.07080154,2264534.55236146,1596889.1483289,1436841.67077152,1840393.79010321,"C01924","L-Homoarginine","Arginine and proline metabolism"
"175","hypotaurine",0.799849514464429,0.00050576861324847,-633745.569587695,1471110.75273234,1470552.53463479,1525623.64232443,1029308.20120616,808397.721554223,728344.29816809,"C00519","Hypotaurine","Not assigned"
"176","hypoxanthine",-0.169970221682825,0.995378187667267,461916.344463568,6474602.17028843,2584314.58093688,2023949.00665264,2309552.63883576,2128032.55163634,8031029.60079656,"C00262","Hypoxanthine","Purine metabolism"
"177","IMP",1.03988362533882,0.0179519570226954,-443369.91501197,776284.599525035,1010295.74864104,803029.315805906,489885.849906038,402732.739989898,366881.329040139,"C00130","IMP","Purine metabolism"
"178","indole",-0.590224426933528,0.000260002310395135,312132.030616974,614014.811584522,620975.020463787,617495.690057804,992245.641629554,848342.708635274,948293.263692209,"C00463","Indole","Not assigned"
