HMDB,PotentialAdditionalIDs,AllIDs
HMDB0006899,HMDB0028687,"HMDB0006899, HMDB0028687"
HMDB0006960,"HMDB0000125, HMDB0001463","HMDB0000125, HMDB0001463, HMDB0006960"
HMDB0010169,"HMDB0012098, HMDB0061712","HMDB0010169, HMDB0012098, HMDB0061712"
HMDB0010217,NA,HMDB0010217
HMDB0010316,NA,HMDB0010316
HMDB0010318,NA,HMDB0010318
HMDB0010377,"HMDB0003231, HMDB0240219","HMDB0003231, HMDB0240219, HMDB0010377"
HMDB0010379,NA,HMDB0010379
HMDB0010380,"HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010381,"HMDB0010380, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010382,"HMDB0010380, HMDB0010381, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010383,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010384,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010385,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010387,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010390,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010391,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010392,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010393,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010395,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010396,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010397,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010398,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010399,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010400,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010401,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010402,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010403,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010404,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010405,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010406,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010408,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0010725,HMDB0002203,"HMDB0002203, HMDB0010725"
HMDB0011130,NA,HMDB0011130
HMDB0011134,HMDB0002218,"HMDB0011134, HMDB0002218"
HMDB0011170,HMDB0029152,"HMDB0011170, HMDB0029152"
HMDB0011171,HMDB0029153,"HMDB0011171, HMDB0029153"
HMDB0011172,HMDB0029162,"HMDB0011172, HMDB0029162"
HMDB0011177,NA,HMDB0011177
HMDB0011178,NA,HMDB0011178
HMDB0011500,NA,HMDB0011500
HMDB0011503,NA,HMDB0011503
HMDB0011506,NA,HMDB0011506
HMDB0011507,NA,HMDB0011507
HMDB0011517,NA,HMDB0011517
HMDB0011533,NA,HMDB0011533
HMDB0011537,NA,HMDB0011537
HMDB0011538,NA,HMDB0011538
HMDB0011567,"HMDB0062009, HMDB0094684","HMDB0011567, HMDB0062009, HMDB0094684"
HMDB0011572,NA,HMDB0011572
HMDB0011617,NA,HMDB0011617
HMDB0011621,NA,HMDB0011621
HMDB0011633,"HMDB0000536, HMDB0001332, HMDB0059653","HMDB0000536, HMDB0001332, HMDB0011633, HMDB0059653"
HMDB0011691,NA,HMDB0011691
HMDB0011723,"HMDB0000714, HMDB0062583","HMDB0000714, HMDB0011723, HMDB0062583"
HMDB0011726,"HMDB0002712, HMDB0011736","HMDB0002712, HMDB0011726, HMDB0011736"
HMDB0011733,NA,HMDB0011733
HMDB0011736,"HMDB0002712, HMDB0011726","HMDB0002712, HMDB0011726, HMDB0011736"
HMDB0011737,HMDB0029148,"HMDB0011737, HMDB0029148"
HMDB0011738,NA,HMDB0011738
HMDB0011745,NA,HMDB0011745
HMDB0011756,NA,HMDB0011756
HMDB0011757,NA,HMDB0011757
HMDB0012098,"HMDB0010169, HMDB0061712","HMDB0010169, HMDB0012098, HMDB0061712"
HMDB0012108,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0012154,NA,HMDB0012154
HMDB0012194,HMDB0000283,"HMDB0000283, HMDB0012194"
HMDB0012253,NA,HMDB0012253
HMDB0012254,HMDB0249794,"HMDB0012254, HMDB0249794"
HMDB0012279,"HMDB0000224, HMDB0060151, HMDB0060152","HMDB0000224, HMDB0012279, HMDB0060151, HMDB0060152"
HMDB0012328,"HMDB0003229, HMDB0060082","HMDB0003229, HMDB0012328, HMDB0060082"
HMDB0012458,HMDB0062430,"HMDB0012458, HMDB0062430"
HMDB0013122,"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0062541, HMDB0094688, HMDB0258493","HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493"
HMDB0013123,"HMDB0001976, HMDB0060113","HMDB0001976, HMDB0060113, HMDB0013123"
HMDB0013128,NA,HMDB0013128
HMDB0013130,HMDB0062587,"HMDB0013130, HMDB0062587"
HMDB0013209,HMDB0028698,"HMDB0013209, HMDB0028698"
HMDB0013302,NA,HMDB0013302
HMDB0013622,"HMDB0062543, HMDB0062658","HMDB0013622, HMDB0062543, HMDB0062658"
HMDB0013678,NA,HMDB0013678
HMDB0013713,NA,HMDB0013713
HMDB0013762,HMDB0001858,"HMDB0001858, HMDB0013762"
HMDB0014273,"HMDB0000044, HMDB0029945","HMDB0000044, HMDB0014273, HMDB0029945"
HMDB0014288,"HMDB0000215, HMDB0000533","HMDB0000215, HMDB0000533, HMDB0014288"
HMDB0014426,NA,HMDB0014426
HMDB0014463,HMDB0004995,"HMDB0004995, HMDB0014463"
