"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB"
"96";"4-androsten-3beta,17beta-diol disulfate 1*";NA;"Lipid";"Sterol/Steroid";"37202";"LC/MS Neg";"3735";"224.3";NA;NA;"HMDB03818"
"97";"4-guanidinobutanoate";"463-003, 463-00-3";"Amino acid";"Guanidino and acetamido metabolism";"15681";"LC/MS Pos";"1085";"146.1";"500";"C01035";"HMDB03464"
"98";"4-hydroxybutyrate (GHB)";"502-85-2";"Lipid";"Fatty acid, monohydroxy";"34585";"GC/MS";"1277";"233.1";"10413";"C00989";"HMDB00710"
"99";"4-hydroxyglutamate";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"GC/MS";"1644.2";"244.1";"5460078, 5460800";"C03079";"HMDB01344"
"100";"4-hydroxyhippurate";"2482-25-9";"Xenobiotics";"Benzoate metabolism";"35527";"LC/MS Neg";"1439";"194";"151012";NA;NA
"101";"4-hydroxyphenylacetate";"156-38-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"541";"GC/MS";"1630.6";"179";"127";"C00642";"HMDB00020"
"102";"4-methyl-2-oxopentanoate";"816-66-0";"Amino acid";"Valine, leucine and isoleucine metabolism";"22116";"LC/MS Neg";"2200";"129.19999999999999";"70";"C00233";"HMDB00695"
"103";"5,6-dihydrouracil";"504-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"1559";"GC/MS";"1505.2";"243";"649";"C00429";"HMDB00076"
"104";"5-HETE";"73307-52-5";"Lipid";"Eicosanoid";"37372";"LC/MS Neg";"5372";"319.2";"9862886";NA;NA
"105";"5-aminovalerate";"660-88-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"18319";"LC/MS Pos";"860";"118.1";"138";"C00431";"HMDB03355"
"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396"
"107";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173"
"108";"5-methyluridine (ribothymidine)";"1463-10-1";"Nucleotide";"Pyrimidine metabolism, uracil containing";"35136";"LC/MS Neg";"1774";"257.10000000000002";"445408";NA;"HMDB00884"
"109";"5-oxoETE";"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217"
"110";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267"
"111";"6'-sialyllactose";"35890-39-2";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"39795";"GC/MS";"2071.5";"285.10000000000002";NA;"G00265";"HMDB06569"
"112";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886"
"113";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316"
"114";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458"
"115";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496"
"116";"7-beta-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"473141";"C03594";"HMDB06119"
"117";"Ac-Ser-Asp-Lys-Pro-OH";"127103-11-1";"Peptide";"Polypeptide";"40707";"LC/MS Pos";"1767";"488.2";"4409396";NA;NA
